Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  1.282
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,1.3882203805754775E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.189947E-02,-0.664991E-02
0.122070E-02,0.379893E-02,0.596855E-01
0.183105E-02,0.569840E-02,0.756458E-01
0.244141E-02,0.759787E-02,0.175606
0.305176E-02,0.949734E-02,-0.171014
0.366211E-02,0.113968E-01,0.232835
0.427246E-02,0.132963E-01,0.569868E-01
0.488281E-02,0.151957E-01,0.117176
0.549316E-02,0.170952E-01,0.231308
0.610352E-02,0.189947E-01,0.434358
0.671387E-02,0.208941E-01,-0.154398E-01
0.732422E-02,0.227936E-01,0.107940
0.793457E-02,0.246931E-01,0.270467E-01
0.854492E-02,0.265925E-01,0.228665E-01
0.915527E-02,0.284920E-01,0.271809
0.976562E-02,0.303915E-01,-0.708116E-01
0.103760E-01,0.322909E-01,0.212585E-01
0.109863E-01,0.341904E-01,0.596402
0.115967E-01,0.360899E-01,0.307714E-01
0.122070E-01,0.379893E-01,0.513982E-02
0.128174E-01,0.398888E-01,-0.545764E-01
0.134277E-01,0.417883E-01,0.109741
0.140381E-01,0.436878E-01,0.206760
0.146484E-01,0.455872E-01,0.407841E-01
0.152588E-01,0.474867E-01,-0.105658
0.158691E-01,0.493862E-01,-0.343406E-01
0.164795E-01,0.512856E-01,0.241320
0.170898E-01,0.531851E-01,0.102342
0.177002E-01,0.550846E-01,0.734679E-01
0.183105E-01,0.569840E-01,-0.441609E-01
0.189209E-01,0.588835E-01,-0.824230E-01
0.195312E-01,0.607830E-01,0.602745E-01
0.201416E-01,0.626824E-01,0.909622E-01
0.207520E-01,0.645819E-01,0.435458
0.213623E-01,0.664814E-01,0.719942E-01
0.219727E-01,0.683808E-01,0.146202
0.225830E-01,0.702803E-01,-0.268264E-01
0.231934E-01,0.721798E-01,0.840605E-01
0.238037E-01,0.740792E-01,0.282183E-01
0.244141E-01,0.759787E-01,-0.381400E-01
0.250244E-01,0.778782E-01,0.194638
0.256348E-01,0.797776E-01,1.23327
0.262451E-01,0.816771E-01,0.478450E-01
0.268555E-01,0.835766E-01,0.867028
0.274658E-01,0.854760E-01,0.280665
0.280762E-01,0.873755E-01,0.669831
0.286865E-01,0.892750E-01,0.114092
0.292969E-01,0.911744E-01,0.655542
0.299072E-01,0.930739E-01,0.383748
0.305176E-01,0.949734E-01,0.203126E-01
0.311279E-01,0.968728E-01,0.427685
0.317383E-01,0.987723E-01,0.482804E-01
0.323486E-01,0.100672,0.364310
0.329590E-01,0.102571,0.184754E-01
0.335693E-01,0.104471,0.579738
0.341797E-01,0.106370,0.248779
0.347900E-01,0.108270,-0.310067E-01
0.354004E-01,0.110169,-0.828272E-01
0.360107E-01,0.112069,1.45976
0.366211E-01,0.113968,0.214542
0.372314E-01,0.115868,1.27352
0.378418E-01,0.117767,0.223540
0.384521E-01,0.119666,-0.639701E-03
0.390625E-01,0.121566,-0.990133E-01
0.396729E-01,0.123465,0.151104
0.402832E-01,0.125365,0.212515
0.408936E-01,0.127264,-0.664054E-02
0.415039E-01,0.129164,0.219900
0.421143E-01,0.131063,0.334987
0.427246E-01,0.132963,0.201271
0.433350E-01,0.134862,0.467624
0.439453E-01,0.136762,0.153307
0.445557E-01,0.138661,0.442051
0.451660E-01,0.140561,0.395958
0.457764E-01,0.142460,0.197516
0.463867E-01,0.144360,0.554787E-01
0.469971E-01,0.146259,0.822189
0.476074E-01,0.148158,0.164203
0.482178E-01,0.150058,0.557716
0.488281E-01,0.151957,0.294828
0.494385E-01,0.153857,0.626911E-01
0.500488E-01,0.155756,0.890451E-02
0.506592E-01,0.157656,-0.131311
0.512695E-01,0.159555,0.306344
0.518799E-01,0.161455,0.608770E-01
0.524902E-01,0.163354,0.287992
0.531006E-01,0.165254,0.318001
0.537109E-01,0.167153,0.313778
0.543213E-01,0.169053,0.656538
0.549316E-01,0.170952,-0.336162E-01
0.555420E-01,0.172852,0.176391
0.561523E-01,0.174751,-0.588252E-02
0.567627E-01,0.176650,0.280381E-01
0.573730E-01,0.178550,0.758674
0.579834E-01,0.180449,0.687346
0.585938E-01,0.182349,0.420172E-01
0.592041E-01,0.184248,0.276156E-02
0.598145E-01,0.186148,-0.304502E-01
0.604248E-01,0.188047,0.236187E-01
0.610352E-01,0.189947,0.387439E-02
0.616455E-01,0.191846,0.355083
0.622559E-01,0.193746,0.417866E-01
0.628662E-01,0.195645,0.357425
0.634766E-01,0.197545,0.285825E-01
0.640869E-01,0.199444,0.310441E-02
0.646973E-01,0.201344,-0.975745E-01
0.653076E-01,0.203243,0.110260E-01
0.659180E-01,0.205142,0.367154
0.665283E-01,0.207042,-0.703979E-01
0.671387E-01,0.208941,-0.436787E-01
0.677490E-01,0.210841,0.554698
0.683594E-01,0.212740,-0.100836
0.689697E-01,0.214640,0.354727
0.695801E-01,0.216539,-0.331350E-01
0.701904E-01,0.218439,0.532161
0.708008E-01,0.220338,0.439922
0.714111E-01,0.222238,-0.350366E-01
0.720215E-01,0.224137,-0.122007
0.726318E-01,0.226037,0.436779
0.732422E-01,0.227936,0.343972
0.738525E-01,0.229836,0.860759E-01
0.744629E-01,0.231735,0.755561
0.750732E-01,0.233634,-0.270841E-01
0.756836E-01,0.235534,0.490007E-01
0.762939E-01,0.237433,0.196298
0.769043E-01,0.239333,-0.199936E-01
0.775146E-01,0.241232,0.206902E-01
0.781250E-01,0.243132,-0.240895E-02
0.787354E-01,0.245031,0.138349
0.793457E-01,0.246931,0.771833E-01
0.799561E-01,0.248830,-0.341367E-02
0.805664E-01,0.250730,0.231805E-01
0.811768E-01,0.252629,0.238453
0.817871E-01,0.254529,0.241245
0.823975E-01,0.256428,-0.291525E-02
0.830078E-01,0.258328,0.255541E-01
0.836182E-01,0.260227,0.164629
0.842285E-01,0.262127,0.129005E-01
0.848389E-01,0.264026,-0.324946E-01
0.854492E-01,0.265925,-0.180297
0.860596E-01,0.267825,-0.149746E-01
0.866699E-01,0.269724,-0.124956
0.872803E-01,0.271624,0.194205E-01
0.878906E-01,0.273523,0.163971
0.885010E-01,0.275423,-0.209498E-01
0.891113E-01,0.277322,-0.120957
0.897217E-01,0.279222,0.714417E-01
0.903320E-01,0.281121,0.198563
0.909424E-01,0.283021,0.447985E-01
0.915527E-01,0.284920,0.127548
0.921631E-01,0.286820,0.184578E-01
0.927734E-01,0.288719,0.452248
0.933838E-01,0.290619,0.109752
0.939941E-01,0.292518,0.432791
0.946045E-01,0.294417,0.238785
0.952148E-01,0.296317,0.354727
0.958252E-01,0.298216,0.264844
0.964355E-01,0.300116,0.158898
0.970459E-01,0.302015,0.569554E-01
0.976562E-01,0.303915,0.192465
0.982666E-01,0.305814,0.256508
0.988770E-01,0.307714,0.680345
0.994873E-01,0.309613,0.301750
0.100098,0.311513,0.697399
0.100708,0.313412,0.541652E-01
0.101318,0.315312,0.184240
0.101929,0.317211,-0.355880E-01
0.102539,0.319111,0.968568E-01
0.103149,0.321010,0.248258
0.103760,0.322909,0.280929
0.104370,0.324809,0.821777E-01
0.104980,0.326708,0.372059
0.105591,0.328608,0.443104
0.106201,0.330507,0.644559
0.106812,0.332407,0.289767
0.107422,0.334306,0.718069E-01
0.108032,0.336206,-0.140253
0.108643,0.338105,-0.159422
0.109253,0.340005,-0.275774E-01
0.109863,0.341904,0.798837E-02
0.110474,0.343804,-0.498466E-02
0.111084,0.345703,0.249488
0.111694,0.347603,0.570722
0.112305,0.349502,-0.458104
0.112915,0.351401,0.244112
0.113525,0.353301,0.852977E-01
0.114136,0.355200,0.165486
0.114746,0.357100,-0.110385
0.115356,0.358999,-0.242062
0.115967,0.360899,0.580267E-02
0.116577,0.362798,-0.923507E-01
0.117188,0.364698,-0.244059E-01
0.117798,0.366597,0.205862
0.118408,0.368497,-0.161573
0.119019,0.370396,0.190221
0.119629,0.372296,-0.831383E-01
0.120239,0.374195,-0.264017E-01
0.120850,0.376095,0.434256
0.121460,0.377994,-0.550946E-01
0.122070,0.379893,-0.380022E-01
0.122681,0.381793,0.849175E-01
0.123291,0.383692,-0.447245E-01
0.123901,0.385592,0.974662E-01
0.124512,0.387491,-0.175370
0.125122,0.389391,-0.544769E-01
0.125732,0.391290,0.594385E-01
0.126343,0.393190,0.868289
0.126953,0.395089,0.204025E-01
0.127563,0.396989,0.468186
0.128174,0.398888,-0.162582E-01
0.128784,0.400788,0.349230E-01
0.129395,0.402687,0.114472
0.130005,0.404587,-0.522020E-01
0.130615,0.406486,0.671188
0.131226,0.408386,0.152055
0.131836,0.410285,0.263743
0.132446,0.412184,0.274194
0.133057,0.414084,0.262807E-02
0.133667,0.415983,0.898635
0.134277,0.417883,-0.566001E-01
0.134888,0.419782,-0.336234E-01
0.135498,0.421682,-0.109117
0.136108,0.423581,0.174669
0.136719,0.425481,0.134816
0.137329,0.427380,0.106313E-01
0.137939,0.429280,-0.262627
0.138550,0.431179,0.436048
0.139160,0.433079,0.177867
0.139771,0.434978,0.161941
0.140381,0.436878,0.313411
0.140991,0.438777,0.210578
0.141602,0.440676,-0.173884E-01
