Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.208
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,5.7652590779290881E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.116884E-01,-0.264649
0.122070E-02,0.233768E-01,-0.431084
0.183105E-02,0.350652E-01,-0.498143
0.244141E-02,0.467537E-01,-0.637523
0.305176E-02,0.584421E-01,0.201817
0.366211E-02,0.701305E-01,0.750975
0.427246E-02,0.818189E-01,0.464453
0.488281E-02,0.935073E-01,0.167425E-01
0.549316E-02,0.105196,1.01848
0.610352E-02,0.116884,-0.105043
0.671387E-02,0.128573,0.576752
0.732422E-02,0.140261,-0.732922
0.793457E-02,0.151949,0.435608E-01
0.854492E-02,0.163638,0.219290
0.915527E-02,0.175326,0.225705
0.976562E-02,0.187015,0.687845
0.103760E-01,0.198703,0.268204
0.109863E-01,0.210391,-0.281088
0.115967E-01,0.222080,0.238669E-01
0.122070E-01,0.233768,-0.130403
0.128174E-01,0.245457,1.01060
0.134277E-01,0.257145,0.135969
0.140381E-01,0.268834,0.562425E-01
0.146484E-01,0.280522,-0.852998E-01
0.152588E-01,0.292210,0.329695
0.158691E-01,0.303899,0.223155
0.164795E-01,0.315587,0.778927
0.170898E-01,0.327276,0.427059E-02
0.177002E-01,0.338964,-0.433776E-01
0.183105E-01,0.350652,0.309897
0.189209E-01,0.362341,0.439898
0.195312E-01,0.374029,-0.254482
0.201416E-01,0.385718,0.780618E-01
0.207520E-01,0.397406,0.424013
0.213623E-01,0.409095,0.791936E-01
0.219727E-01,0.420783,-0.287834
0.225830E-01,0.432471,0.199358
0.231934E-01,0.444160,0.246203E-01
0.238037E-01,0.455848,-0.161298
0.244141E-01,0.467537,0.411805
0.250244E-01,0.479225,-0.301195E-01
0.256348E-01,0.490913,0.405412E-01
0.262451E-01,0.502602,-0.701398E-01
0.268555E-01,0.514290,0.727888
0.274658E-01,0.525979,0.656783
0.280762E-01,0.537667,0.326362
0.286865E-01,0.549356,0.735812E-02
0.292969E-01,0.561044,0.806993
0.299072E-01,0.572732,1.48166
0.305176E-01,0.584421,0.283216
0.311279E-01,0.596109,0.350904
0.317383E-01,0.607798,-0.515108
0.323486E-01,0.619486,0.826575
0.329590E-01,0.631174,-0.135429
0.335693E-01,0.642863,0.246679
0.341797E-01,0.654551,0.591801
0.347900E-01,0.666240,-0.624060E-01
0.354004E-01,0.677928,0.668753
0.360107E-01,0.689616,0.297788
0.366211E-01,0.701305,-0.534115E-01
0.372314E-01,0.712993,0.502720
0.378418E-01,0.724682,0.132966
0.384521E-01,0.736370,-0.525542
0.390625E-01,0.748059,0.384140
0.396729E-01,0.759747,0.571738
0.402832E-01,0.771435,-0.212241E-01
0.408936E-01,0.783124,0.283548E-02
0.415039E-01,0.794812,-0.952257E-01
0.421143E-01,0.806501,0.575661
0.427246E-01,0.818189,1.34978
0.433350E-01,0.829877,0.970663E-01
0.439453E-01,0.841566,0.694163E-01
0.445557E-01,0.853254,-0.171876
0.451660E-01,0.864943,0.117629
0.457764E-01,0.876631,-0.550298
0.463867E-01,0.888320,0.325282
0.469971E-01,0.900008,0.208391
0.476074E-01,0.911696,0.126747
0.482178E-01,0.923385,0.681618E-01
0.488281E-01,0.935073,0.126368
0.494385E-01,0.946762,-0.349342E-01
0.500488E-01,0.958450,-0.611644E-01
0.506592E-01,0.970138,0.136829
0.512695E-01,0.981827,0.904256E-02
0.518799E-01,0.993515,-0.200650
0.524902E-01,1.00520,0.594017
0.531006E-01,1.01689,0.394102
0.537109E-01,1.02858,-0.120783
0.543213E-01,1.04027,0.680578E-01
0.549316E-01,1.05196,0.648956E-01
0.555420E-01,1.06365,1.28686
0.561523E-01,1.07533,-0.207729
0.567627E-01,1.08702,-0.464430E-01
0.573730E-01,1.09871,0.883261
0.579834E-01,1.11040,2.89610
0.585938E-01,1.12209,0.380418
0.592041E-01,1.13378,0.637131
0.598145E-01,1.14546,0.389852
0.604248E-01,1.15715,-0.637978E-01
0.610352E-01,1.16884,-0.289940
0.616455E-01,1.18053,0.201602
0.622559E-01,1.19222,0.265811
0.628662E-01,1.20391,-0.107557E-01
0.634766E-01,1.21560,0.520302
0.640869E-01,1.22728,0.179629
0.646973E-01,1.23897,1.14208
0.653076E-01,1.25066,3.06443
0.659180E-01,1.26235,0.590261
0.665283E-01,1.27404,0.695632E-01
0.671387E-01,1.28573,0.385849E-01
0.677490E-01,1.29741,0.155821
0.683594E-01,1.30910,-0.414192E-01
0.689697E-01,1.32079,-0.222578
0.695801E-01,1.33248,0.220570
0.701904E-01,1.34417,0.111300
0.708008E-01,1.35586,0.878827E-02
0.714111E-01,1.36754,0.420524
0.720215E-01,1.37923,0.836563
0.726318E-01,1.39092,0.241120
0.732422E-01,1.40261,0.722391
0.738525E-01,1.41430,-0.210783E-01
0.744629E-01,1.42599,-0.304379
0.750732E-01,1.43768,0.692022
0.756836E-01,1.44936,0.475243E-01
0.762939E-01,1.46105,0.171296
0.769043E-01,1.47274,-0.342743
0.775146E-01,1.48443,-0.435697E-01
0.781250E-01,1.49612,-0.226255E-01
0.787354E-01,1.50781,0.245095
0.793457E-01,1.51949,-0.183165
0.799561E-01,1.53118,0.410347
0.805664E-01,1.54287,-0.492685
0.811768E-01,1.55456,1.53585
0.817871E-01,1.56625,0.662621
0.823975E-01,1.57794,0.469749E-01
0.830078E-01,1.58962,1.05097
0.836182E-01,1.60131,1.52771
0.842285E-01,1.61300,0.322950
0.848389E-01,1.62469,1.00498
0.854492E-01,1.63638,0.313979
0.860596E-01,1.64807,-0.988868E-01
0.866699E-01,1.65975,0.352082
0.872803E-01,1.67144,0.193331
0.878906E-01,1.68313,1.06296
0.885010E-01,1.69482,0.130276
0.891113E-01,1.70651,0.535793E-01
0.897217E-01,1.71820,0.126548E-01
0.903320E-01,1.72989,0.533188
0.909424E-01,1.74157,0.210457
0.915527E-01,1.75326,0.488294
0.921631E-01,1.76495,0.186011
0.927734E-01,1.77664,0.857024
0.933838E-01,1.78833,0.211906
0.939941E-01,1.80002,0.298845E-01
0.946045E-01,1.81170,0.153992
0.952148E-01,1.82339,0.118936
0.958252E-01,1.83508,1.65428
0.964355E-01,1.84677,2.10215
0.970459E-01,1.85846,0.145825E-01
0.976562E-01,1.87015,0.512291
0.982666E-01,1.88183,1.18386
0.988770E-01,1.89352,0.421798E-01
0.994873E-01,1.90521,0.208874
0.100098,1.91690,0.564604E-01
0.100708,1.92859,2.10023
0.101318,1.94028,0.623732
0.101929,1.95197,0.180886
0.102539,1.96365,0.212252
0.103149,1.97534,0.688308
0.103760,1.98703,0.212332
0.104370,1.99872,1.78581
0.104980,2.01041,1.42695
0.105591,2.02210,1.28810
0.106201,2.03378,0.246362
0.106812,2.04547,1.49187
0.107422,2.05716,0.131004
0.108032,2.06885,0.426442
0.108643,2.08054,0.462223
0.109253,2.09223,0.203857
0.109863,2.10391,0.423827
0.110474,2.11560,0.586559
0.111084,2.12729,0.687085
0.111694,2.13898,-0.195276
0.112305,2.15067,-0.223883
0.112915,2.16236,-0.302537
0.113525,2.17405,0.667059E-01
0.114136,2.18573,0.356269
0.114746,2.19742,0.423051
0.115356,2.20911,0.193160
0.115967,2.22080,0.415642
0.116577,2.23249,0.850625E-01
0.117188,2.24418,1.54050
0.117798,2.25586,-0.490857
0.118408,2.26755,0.365983E-02
0.119019,2.27924,0.509718
0.119629,2.29093,-0.180958E-01
0.120239,2.30262,0.248146
0.120850,2.31431,0.439068
0.121460,2.32599,1.71684
0.122070,2.33768,0.458291
0.122681,2.34937,0.128249E-01
0.123291,2.36106,0.554351
0.123901,2.37275,0.333714
0.124512,2.38444,0.937545
0.125122,2.39613,0.829201
0.125732,2.40781,-0.270271
0.126343,2.41950,0.989943
0.126953,2.43119,0.373165
0.127563,2.44288,0.816701
0.128174,2.45457,-0.932237E-01
0.128784,2.46626,0.424566
0.129395,2.47794,1.03166
0.130005,2.48963,0.261717
0.130615,2.50132,0.959113
0.131226,2.51301,0.275168
0.131836,2.52470,-0.232590
0.132446,2.53639,0.283415
0.133057,2.54807,0.393942
0.133667,2.55976,0.859579
0.134277,2.57145,-0.182156
0.134888,2.58314,0.407882
0.135498,2.59483,-0.109337
0.136108,2.60652,-0.202361
0.136719,2.61820,-0.312796
0.137329,2.62989,0.782471
0.137939,2.64158,-0.373882
0.138550,2.65327,0.152032
0.139160,2.66496,0.390964
0.139771,2.67665,0.959015
0.140381,2.68834,0.173261
0.140991,2.70002,0.645473
0.141602,2.71171,-0.212769
0.142212,2.72340,0.319133
0.142822,2.73509,-0.110561E-01
0.143433,2.74678,1.35955
0.144043,2.75847,0.464747
0.144653,2.77015,0.473167
0.145264,2.78184,1.34854
0.145874,2.79353,-0.268544
0.146484,2.80522,2.03894
0.147095,2.81691,-0.298633
0.147705,2.82860,0.113452E-02
0.148315,2.84028,0.687250
0.148926,2.85197,0.870983
0.149536,2.86366,0.405361
0.150146,2.87535,0.126687
0.150757,2.88704,0.116704
0.151367,2.89873,-0.617623E-01
0.151978,2.91042,0.568458
0.152588,2.92210,-0.521084E-01
0.153198,2.93379,1.86402
0.153809,2.94548,0.563687
0.154419,2.95717,0.243614
0.155029,2.96886,0.959499
0.155640,2.98055,0.356916E-01
0.156250,2.99223,1.50391
0.156860,3.00392,0.234721
0.157471,3.01561,0.572563
0.158081,3.02730,-0.978322E-01
0.158691,3.03899,0.433134
0.159302,3.05068,0.657174E-01
0.159912,3.06236,0.179988
0.160522,3.07405,0.373084
0.161133,3.08574,0.365246
0.161743,3.09743,1.75705
0.162354,3.10912,-0.890881E-01
0.162964,3.12081,0.900650
0.163574,3.13250,0.128189
0.164185,3.14418,0.723204E-01
0.164795,3.15587,0.626404
0.165405,3.16756,0.490985
0.166016,3.17925,1.02160
0.166626,3.19094,0.368634
0.167236,3.20263,0.183368
0.167847,3.21431,0.439120
0.168457,3.22600,-0.191481
0.169067,3.23769,0.516581
0.169678,3.24938,0.555157
0.170288,3.26107,0.637164
0.170898,3.27276,0.199998
0.171509,3.28444,0.837451
0.172119,3.29613,0.576181
0.172729,3.30782,0.451369
0.173340,3.31951,0.249401
0.173950,3.33120,0.168421
0.174561,3.34289,1.78230
0.175171,3.35458,1.38159
0.175781,3.36626,0.881102
0.176392,3.37795,0.871836
0.177002,3.38964,2.71585
0.177612,3.40133,-0.226133
0.178223,3.41302,0.109504
0.178833,3.42471,0.741962
0.179443,3.43639,0.656187E-01
0.180054,3.44808,0.286556E-01
0.180664,3.45977,1.42193
0.181274,3.47146,1.91379
0.181885,3.48315,1.83077
0.182495,3.49484,0.786068
0.183105,3.50652,0.430298E-01
0.183716,3.51821,-0.451315
0.184326,3.52990,0.510864
0.184937,3.54159,0.605529E-01
0.185547,3.55328,-0.728262E-03
0.186157,3.56497,1.18081
0.186768,3.57666,-0.145748
0.187378,3.58834,-0.289112
0.187988,3.60003,0.321093
0.188599,3.61172,0.474163
0.189209,3.62341,0.361551
0.189819,3.63510,0.567682E-01
0.190430,3.64679,0.182590
0.191040,3.65847,0.529202
0.191650,3.67016,0.523088E-02
0.192261,3.68185,0.636686
0.192871,3.69354,0.892024
0.193481,3.70523,-0.227776
0.194092,3.71692,0.242443
0.194702,3.72860,0.495211
0.195312,3.74029,0.687040
0.195923,3.75198,0.898013
0.196533,3.76367,0.308407
0.197144,3.77536,2.80848
0.197754,3.78705,-0.287386E-01
0.198364,3.79873,0.640581
0.198975,3.81042,0.192341
0.199585,3.82211,2.59201
0.200195,3.83380,0.612045
0.200806,3.84549,1.48195
0.201416,3.85718,-0.265963
0.202026,3.86887,0.592856
0.202637,3.88055,-0.497845E-01
0.203247,3.89224,1.64288
0.203857,3.90393,-0.757490E-01
0.204468,3.91562,0.698061E-01
0.205078,3.92731,0.707496
0.205688,3.93900,0.565624
0.206299,3.95068,-0.758639
0.206909,3.96237,0.950455E-01
0.207520,3.97406,0.146635
0.208130,3.98575,0.954106
0.208740,3.99744,-0.254660
0.209351,4.00913,0.600786
0.209961,4.02081,1.54748
0.210571,4.03250,0.899643
0.211182,4.04419,-0.479679E-01
0.211792,4.05588,0.234363
0.212402,4.06757,0.382280
0.213013,4.07926,2.24778
0.213623,4.09095,0.258923
0.214233,4.10263,1.46833
0.214844,4.11432,-0.287866
0.215454,4.12601,0.654363
0.216064,4.13770,0.467859
0.216675,4.14939,0.744266
0.217285,4.16108,0.381609
0.217896,4.17276,0.873568
0.218506,4.18445,0.171009
0.219116,4.19614,-0.597153
0.219727,4.20783,0.856997
0.220337,4.21952,1.89262
0.220947,4.23121,1.56605
0.221558,4.24289,0.803367
0.222168,4.25458,-0.584167E-01
0.222778,4.26627,0.325948
0.223389,4.27796,0.692313
0.223999,4.28965,0.114654
0.224609,4.30134,0.513807
0.225220,4.31303,-0.267586E-01
0.225830,4.32471,0.289773
0.226440,4.33640,0.194209
0.227051,4.34809,2.26311
0.227661,4.35978,0.532951
0.228271,4.37147,1.37720
0.228882,4.38316,1.01560
0.229492,4.39484,0.159479
0.230103,4.40653,0.170241
0.230713,4.41822,0.766413
0.231323,4.42991,1.99610
0.231934,4.44160,1.32704
0.232544,4.45329,-0.390559
0.233154,4.46497,0.625821
0.233765,4.47666,0.430539E-01
0.234375,4.48835,0.989330
0.234985,4.50004,0.187892
0.235596,4.51173,-0.402431
0.236206,4.52342,0.304188
0.236816,4.53511,0.456128
0.237427,4.54679,0.749197E-01
0.238037,4.55848,0.462604
0.238647,4.57017,2.30874
0.239258,4.58186,0.544587
0.239868,4.59355,0.951129
0.240479,4.60524,0.975378
0.241089,4.61692,-0.210168E-01
0.241699,4.62861,-0.625383
0.242310,4.64030,1.19317
0.242920,4.65199,-0.154609
0.243530,4.66368,1.44261
0.244141,4.67537,0.502920
0.244751,4.68705,0.296804
0.245361,4.69874,0.529883
0.245972,4.71043,0.568723
0.246582,4.72212,1.46802
0.247192,4.73381,0.116013
0.247803,4.74550,0.791133
0.248413,4.75718,1.16017
0.249023,4.76887,0.624369
0.249634,4.78056,-0.612370E-01
0.250244,4.79225,0.284933
0.250854,4.80394,0.735578
0.251465,4.81563,-0.338325E-01
0.252075,4.82732,0.117955
0.252686,4.83900,1.11594
0.253296,4.85069,0.159527
0.253906,4.86238,1.22367
0.254517,4.87407,0.633776
0.255127,4.88576,0.490066
0.255737,4.89745,-0.872040E-01
0.256348,4.90913,0.389363
0.256958,4.92082,0.165471
0.257568,4.93251,-0.994526E-01
0.258179,4.94420,0.198553
0.258789,4.95589,0.635880E-02
0.259399,4.96758,0.197842
0.260010,4.97926,-0.510150E-01
0.260620,4.99095,0.554768
0.261230,5.00264,1.21816
0.261841,5.01433,0.695579
0.262451,5.02602,-0.192364
0.263062,5.03771,0.988329
0.263672,5.04940,0.381739
0.264282,5.06108,0.882383
0.264893,5.07277,0.376258
0.265503,5.08446,-0.277087
0.266113,5.09615,-0.574142E-01
0.266724,5.10784,-0.154311E-01
0.267334,5.11953,0.111974
0.267944,5.13121,-0.389478
0.268555,5.14290,0.478841
0.269165,5.15459,-0.141465
0.269775,5.16628,0.543416
0.270386,5.17797,0.265924E-01
0.270996,5.18966,-0.204657
