Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.489
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,4.2521958518832162E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.498072E-02,0.560235
0.122070E-02,0.996144E-02,0.440266
0.183105E-02,0.149422E-01,0.117304E-01
0.244141E-02,0.199229E-01,0.911942E-01
0.305176E-02,0.249036E-01,0.212556E-01
0.366211E-02,0.298843E-01,-0.709517E-01
0.427246E-02,0.348650E-01,-0.402783E-01
0.488281E-02,0.398458E-01,-0.510751E-02
0.549316E-02,0.448265E-01,0.392420E-01
0.610352E-02,0.498072E-01,0.690324E-01
0.671387E-02,0.547879E-01,0.122149
0.732422E-02,0.597686E-01,0.114367
0.793457E-02,0.647494E-01,0.208985E-01
0.854492E-02,0.697301E-01,0.245157E-01
0.915527E-02,0.747108E-01,-0.447772E-01
0.976562E-02,0.796915E-01,0.638052E-02
0.103760E-01,0.846722E-01,0.484384E-01
0.109863E-01,0.896530E-01,0.123517
0.115967E-01,0.946337E-01,0.185784E-01
0.122070E-01,0.996144E-01,-0.212752E-01
0.128174E-01,0.104595,0.782480E-01
0.134277E-01,0.109576,0.156818
0.140381E-01,0.114557,0.696427E-01
0.146484E-01,0.119537,-0.106473E-01
0.152588E-01,0.124518,-0.154645E-01
0.158691E-01,0.129499,-0.281967E-01
0.164795E-01,0.134479,0.645298E-01
0.170898E-01,0.139460,-0.615068E-03
0.177002E-01,0.144441,-0.911677E-02
0.183105E-01,0.149422,-0.394354E-01
0.189209E-01,0.154402,-0.450465E-01
0.195312E-01,0.159383,0.129723
0.201416E-01,0.164364,0.355930E-01
0.207520E-01,0.169344,0.309948E-01
0.213623E-01,0.174325,-0.989106E-04
0.219727E-01,0.179306,0.175553
0.225830E-01,0.184287,0.170763
0.231934E-01,0.189267,0.705338E-01
0.238037E-01,0.194248,0.120098E-01
0.244141E-01,0.199229,-0.351936E-01
0.250244E-01,0.204210,0.307329E-01
0.256348E-01,0.209190,0.119320E-01
0.262451E-01,0.214171,0.716751E-01
0.268555E-01,0.219152,0.800299E-01
0.274658E-01,0.224132,-0.170856E-01
0.280762E-01,0.229113,0.325899E-01
0.286865E-01,0.234094,-0.103031E-02
0.292969E-01,0.239075,0.488104E-01
0.299072E-01,0.244055,-0.425000E-02
0.305176E-01,0.249036,0.331354E-01
0.311279E-01,0.254017,0.100024
0.317383E-01,0.258997,0.233214
0.323486E-01,0.263978,0.467124
0.329590E-01,0.268959,0.169395
0.335693E-01,0.273940,0.301976
0.341797E-01,0.278920,0.189736
0.347900E-01,0.283901,0.161793E-01
0.354004E-01,0.288882,0.215614E-01
0.360107E-01,0.293862,0.920194E-01
0.366211E-01,0.298843,0.146392
0.372314E-01,0.303824,0.178102E-01
0.378418E-01,0.308805,0.698537E-01
0.384521E-01,0.313785,0.169772
0.390625E-01,0.318766,0.124747
0.396729E-01,0.323747,0.575169E-01
0.402832E-01,0.328728,0.132393
0.408936E-01,0.333708,0.538328E-01
0.415039E-01,0.338689,0.169647E-01
0.421143E-01,0.343670,0.282401E-01
0.427246E-01,0.348650,-0.556836E-02
0.433350E-01,0.353631,-0.396390E-01
0.439453E-01,0.358612,-0.194800E-01
0.445557E-01,0.363593,0.401385E-02
0.451660E-01,0.368573,-0.236411E-01
0.457764E-01,0.373554,-0.101978E-01
0.463867E-01,0.378535,0.552990E-01
0.469971E-01,0.383515,0.209816E-01
0.476074E-01,0.388496,-0.216549E-01
0.482178E-01,0.393477,0.223778E-01
0.488281E-01,0.398458,0.260043E-02
0.494385E-01,0.403438,0.496064E-02
