Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  1.421
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,1.4433609512271776E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.171355E-02,0.453102E-01
0.122070E-02,0.342710E-02,-0.184971E-01
0.183105E-02,0.514065E-02,0.582016E-02
0.244141E-02,0.685420E-02,0.497172E-01
0.305176E-02,0.856775E-02,0.401966E-01
0.366211E-02,0.102813E-01,0.600668E-01
0.427246E-02,0.119949E-01,-0.140158E-01
0.488281E-02,0.137084E-01,0.908095E-01
0.549316E-02,0.154220E-01,0.596944
0.610352E-02,0.171355E-01,0.381286
0.671387E-02,0.188491E-01,0.520646E-01
0.732422E-02,0.205626E-01,0.173540
0.793457E-02,0.222762E-01,-0.844359E-02
0.854492E-02,0.239897E-01,0.151819
0.915527E-02,0.257033E-01,0.276846E-01
0.976562E-02,0.274168E-01,-0.298312E-02
0.103760E-01,0.291304E-01,0.369106
0.109863E-01,0.308439E-01,0.173444E-01
0.115967E-01,0.325575E-01,0.295271
0.122070E-01,0.342710E-01,0.195581
0.128174E-01,0.359846E-01,0.259293E-01
0.134277E-01,0.376981E-01,-0.245660E-01
0.140381E-01,0.394117E-01,0.234284
0.146484E-01,0.411252E-01,0.354306E-01
0.152588E-01,0.428388E-01,0.488071E-01
0.158691E-01,0.445523E-01,0.191157
0.164795E-01,0.462659E-01,0.693660E-01
0.170898E-01,0.479794E-01,-0.123737
0.177002E-01,0.496930E-01,0.372934
0.183105E-01,0.514065E-01,-0.843057E-01
0.189209E-01,0.531201E-01,0.452173
0.195312E-01,0.548336E-01,-0.938487E-01
