Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.181
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,1.9141547041164324E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.134184E-01,-0.485345
0.122070E-02,0.268368E-01,4.13410
0.183105E-02,0.402552E-01,-6.19226
0.244141E-02,0.536736E-01,2.63382
0.305176E-02,0.670919E-01,-0.771284E-01
0.366211E-02,0.805103E-01,3.36026
0.427246E-02,0.939287E-01,6.44872
0.488281E-02,0.107347,-0.825236E-01
0.549316E-02,0.120766,-4.23094
0.610352E-02,0.134184,2.75916
0.671387E-02,0.147602,1.18924
0.732422E-02,0.161021,0.497512
0.793457E-02,0.174439,-0.101524
0.854492E-02,0.187857,3.86392
0.915527E-02,0.201276,0.821850E-01
0.976562E-02,0.214694,3.70751
0.103760E-01,0.228113,12.6261
0.109863E-01,0.241531,-0.877282
0.115967E-01,0.254949,-2.34261
0.122070E-01,0.268368,-8.38607
0.128174E-01,0.281786,-0.204547
0.134277E-01,0.295205,0.748207
0.140381E-01,0.308623,4.10508
0.146484E-01,0.322041,-11.0807
0.152588E-01,0.335460,-0.262974
0.158691E-01,0.348878,7.65054
0.164795E-01,0.362297,-2.47166
0.170898E-01,0.375715,-2.68351
0.177002E-01,0.389133,-6.66533
0.183105E-01,0.402552,3.18009
0.189209E-01,0.415970,-0.112847
0.195312E-01,0.429388,1.20324
0.201416E-01,0.442807,0.756437
0.207520E-01,0.456225,-0.231966
0.213623E-01,0.469644,-0.581670
0.219727E-01,0.483062,2.06636
0.225830E-01,0.496480,-1.66481
0.231934E-01,0.509899,-5.35762
0.238037E-01,0.523317,-1.43614
0.244141E-01,0.536736,1.64616
0.250244E-01,0.550154,2.25343
0.256348E-01,0.563572,5.09540
0.262451E-01,0.576991,-10.7826
0.268555E-01,0.590409,-5.06564
0.274658E-01,0.603828,1.94630
0.280762E-01,0.617246,-5.18411
0.286865E-01,0.630664,-3.18006
0.292969E-01,0.644083,-0.330657
0.299072E-01,0.657501,-1.58326
0.305176E-01,0.670919,-5.05205
0.311279E-01,0.684338,-1.00840
0.317383E-01,0.697756,0.683023E-01
0.323486E-01,0.711175,-4.60282
0.329590E-01,0.724593,-3.95755
0.335693E-01,0.738011,-2.07106
0.341797E-01,0.751430,-3.74097
0.347900E-01,0.764848,-1.75375
0.354004E-01,0.778267,-1.10320
0.360107E-01,0.791685,2.80683
0.366211E-01,0.805103,4.18767
0.372314E-01,0.818522,-2.14943
0.378418E-01,0.831940,-0.547962
0.384521E-01,0.845359,-1.76779
0.390625E-01,0.858777,2.92356
0.396729E-01,0.872195,1.32235
0.402832E-01,0.885614,-0.729928
0.408936E-01,0.899032,-4.31967
