Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.195
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-9.3642958370200374E-005
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.125116E-01,1.71218
0.122070E-02,0.250231E-01,-0.650051
0.183105E-02,0.375347E-01,0.243353
0.244141E-02,0.500462E-01,-0.667089E-01
0.305176E-02,0.625578E-01,-0.618611
0.366211E-02,0.750693E-01,-0.242829
0.427246E-02,0.875809E-01,0.496770
0.488281E-02,0.100092,-0.267229
0.549316E-02,0.112604,0.597403
0.610352E-02,0.125116,0.883791
0.671387E-02,0.137627,1.91978
0.732422E-02,0.150139,-0.493107
0.793457E-02,0.162650,0.400728
0.854492E-02,0.175162,1.18440
0.915527E-02,0.187673,-1.28389
0.976562E-02,0.200185,0.639683
0.103760E-01,0.212696,-0.645174
0.109863E-01,0.225208,0.265226
0.115967E-01,0.237720,0.153212
0.122070E-01,0.250231,0.326219
0.128174E-01,0.262743,-1.29329
0.134277E-01,0.275254,2.03262
0.140381E-01,0.287766,-0.554172
0.146484E-01,0.300277,0.827500
0.152588E-01,0.312789,-2.98009
0.158691E-01,0.325300,-0.963149
0.164795E-01,0.337812,-0.147213
0.170898E-01,0.350323,-1.48167
0.177002E-01,0.362835,0.534309
0.183105E-01,0.375347,-1.87803
0.189209E-01,0.387858,0.733962
0.195312E-01,0.400370,-2.29310
0.201416E-01,0.412881,0.806440
0.207520E-01,0.425393,0.294436E-01
0.213623E-01,0.437904,0.897045
0.219727E-01,0.450416,0.965579
0.225830E-01,0.462927,-0.718752
0.231934E-01,0.475439,0.976439E-01
0.238037E-01,0.487951,0.256496
0.244141E-01,0.500462,-0.351746
0.250244E-01,0.512974,0.159994
0.256348E-01,0.525485,-0.134267E-01
0.262451E-01,0.537997,0.112520
0.268555E-01,0.550508,-0.350851
0.274658E-01,0.563020,-0.806605
0.280762E-01,0.575531,-0.235553
0.286865E-01,0.588043,0.183312E-01
0.292969E-01,0.600555,0.416687
0.299072E-01,0.613066,0.429681
0.305176E-01,0.625578,0.646495E-02
0.311279E-01,0.638089,0.155128
0.317383E-01,0.650601,-0.976377
0.323486E-01,0.663112,-0.644659
0.329590E-01,0.675624,-2.28652
0.335693E-01,0.688135,-0.844505E-01
0.341797E-01,0.700647,0.504659E-01
0.347900E-01,0.713159,0.574701
0.354004E-01,0.725670,1.05917
0.360107E-01,0.738182,-0.459075E-01
0.366211E-01,0.750693,0.735569E-01
0.372314E-01,0.763205,-0.704851
0.378418E-01,0.775716,-0.825870
0.384521E-01,0.788228,0.156614
0.390625E-01,0.800739,0.482754
0.396729E-01,0.813251,0.564577E-01
0.402832E-01,0.825763,-0.245871
0.408936E-01,0.838274,-0.912207
0.415039E-01,0.850786,0.244475
0.421143E-01,0.863297,-1.87059
0.427246E-01,0.875809,-0.520624
0.433350E-01,0.888320,-0.700014
0.439453E-01,0.900832,-1.11542
0.445557E-01,0.913343,0.488643
0.451660E-01,0.925855,-0.755891
0.457764E-01,0.938367,0.728951E-02
0.463867E-01,0.950878,-0.532939
0.469971E-01,0.963390,0.134702
0.476074E-01,0.975901,-1.14681
0.482178E-01,0.988413,-0.668199
0.488281E-01,1.00092,-0.598894
0.494385E-01,1.01344,-0.532625
0.500488E-01,1.02595,-0.387408
0.506592E-01,1.03846,0.223307
0.512695E-01,1.05097,0.528066
0.518799E-01,1.06348,-0.806958
0.524902E-01,1.07599,-0.233206E-01
0.531006E-01,1.08851,0.594416
0.537109E-01,1.10102,0.483398E-01
0.543213E-01,1.11353,-1.92929
0.549316E-01,1.12604,-0.441577E-01
0.555420E-01,1.13855,-0.902635
0.561523E-01,1.15106,-0.879854
0.567627E-01,1.16357,-2.80537
0.573730E-01,1.17609,-2.16189
0.579834E-01,1.18860,-0.522105
0.585938E-01,1.20111,0.853355
0.592041E-01,1.21362,-0.945040
0.598145E-01,1.22613,-0.711627
0.604248E-01,1.23864,0.430122
0.610352E-01,1.25116,-0.711972E-01
