Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  1.546
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,1.9591896878938669E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.157558E-02,0.276645E-01
0.122070E-02,0.315115E-02,0.131918
0.183105E-02,0.472673E-02,0.162120
0.244141E-02,0.630230E-02,-0.239535
0.305176E-02,0.787788E-02,0.145301
0.366211E-02,0.945346E-02,0.112728E-01
0.427246E-02,0.110290E-01,-0.151150
0.488281E-02,0.126046E-01,0.235616
0.549316E-02,0.141802E-01,0.442305
0.610352E-02,0.157558E-01,-0.591015E-01
0.671387E-02,0.173313E-01,0.529054E-01
0.732422E-02,0.189069E-01,0.665732
0.793457E-02,0.204825E-01,0.706939E-01
0.854492E-02,0.220581E-01,0.278909
0.915527E-02,0.236336E-01,0.347984
0.976562E-02,0.252092E-01,-0.723980E-03
0.103760E-01,0.267848E-01,0.132430
0.109863E-01,0.283604E-01,0.157556
0.115967E-01,0.299359E-01,-0.672653E-01
0.122070E-01,0.315115E-01,0.581950E-01
0.128174E-01,0.330871E-01,0.184209
0.134277E-01,0.346627E-01,0.192239E-01
0.140381E-01,0.362382E-01,-0.430748E-01
0.146484E-01,0.378138E-01,0.596176E-01
0.152588E-01,0.393894E-01,0.275848
0.158691E-01,0.409650E-01,0.156905
0.164795E-01,0.425406E-01,0.746154E-01
0.170898E-01,0.441161E-01,-0.375666E-01
0.177002E-01,0.456917E-01,0.403650
0.183105E-01,0.472673E-01,0.656409E-01
0.189209E-01,0.488429E-01,0.126428
0.195312E-01,0.504184E-01,0.578964
0.201416E-01,0.519940E-01,0.806391E-01
0.207520E-01,0.535696E-01,-0.102444
0.213623E-01,0.551452E-01,0.162886
0.219727E-01,0.567207E-01,0.567744
0.225830E-01,0.582963E-01,0.622286
0.231934E-01,0.598719E-01,0.622750
0.238037E-01,0.614475E-01,0.744802E-01
0.244141E-01,0.630230E-01,0.511920E-01
0.250244E-01,0.645986E-01,0.559242
0.256348E-01,0.661742E-01,0.378190
0.262451E-01,0.677498E-01,0.567821E-01
0.268555E-01,0.693253E-01,0.289349
0.274658E-01,0.709009E-01,0.122308
0.280762E-01,0.724765E-01,0.113310
0.286865E-01,0.740521E-01,0.340253
0.292969E-01,0.756276E-01,0.204259
0.299072E-01,0.772032E-01,0.315122E-01
0.305176E-01,0.787788E-01,0.125995
0.311279E-01,0.803544E-01,0.145932
0.317383E-01,0.819300E-01,0.610300E-01
0.323486E-01,0.835055E-01,-0.281173
0.329590E-01,0.850811E-01,0.667039
0.335693E-01,0.866567E-01,0.467606
0.341797E-01,0.882323E-01,-0.477098E-01
0.347900E-01,0.898078E-01,0.192649
0.354004E-01,0.913834E-01,-0.858843E-01
0.360107E-01,0.929590E-01,0.130523E-01
0.366211E-01,0.945346E-01,1.00849
0.372314E-01,0.961101E-01,0.285979
0.378418E-01,0.976857E-01,-0.177733E-01
0.384521E-01,0.992613E-01,0.176018
0.390625E-01,0.100837,0.786655E-01
0.396729E-01,0.102412,0.993910
0.402832E-01,0.103988,0.148324
0.408936E-01,0.105564,-0.217843
0.415039E-01,0.107139,-0.468161E-01
0.421143E-01,0.108715,-0.112374
0.427246E-01,0.110290,0.488320E-01
0.433350E-01,0.111866,-0.305818E-01
0.439453E-01,0.113441,-0.146983
0.445557E-01,0.115017,0.238326
0.451660E-01,0.116593,-0.479567E-01
0.457764E-01,0.118168,0.649022
0.463867E-01,0.119744,0.313189
0.469971E-01,0.121319,0.134331
0.476074E-01,0.122895,-0.727283E-01
0.482178E-01,0.124471,0.117879
0.488281E-01,0.126046,0.282340
0.494385E-01,0.127622,0.743646
0.500488E-01,0.129197,-0.737512E-01
0.506592E-01,0.130773,1.17434
0.512695E-01,0.132348,0.670940E-01
0.518799E-01,0.133924,0.271663E-01
0.524902E-01,0.135500,0.509068
0.531006E-01,0.137075,-0.473439
0.537109E-01,0.138651,0.534457
0.543213E-01,0.140226,0.942313E-01
0.549316E-01,0.141802,0.253611E-01
0.555420E-01,0.143377,0.159744
0.561523E-01,0.144953,0.138764
0.567627E-01,0.146529,0.671484
0.573730E-01,0.148104,0.369725
0.579834E-01,0.149680,-0.485905E-01
0.585938E-01,0.151255,-0.683486E-01
0.592041E-01,0.152831,0.562310
0.598145E-01,0.154406,0.440664
0.604248E-01,0.155982,-0.349896E-01
0.610352E-01,0.157558,0.164804
0.616455E-01,0.159133,0.660394
0.622559E-01,0.160709,0.340382
