Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.823
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-7.8528758169045561E-005
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.295769E-02,14.0488
0.122070E-02,0.591538E-02,0.702071
0.183105E-02,0.887307E-02,-8.04542
0.244141E-02,0.118308E-01,-15.2425
0.305176E-02,0.147884E-01,-9.51357
0.366211E-02,0.177461E-01,1.95356
0.427246E-02,0.207038E-01,-18.8531
0.488281E-02,0.236615E-01,6.07628
0.549316E-02,0.266192E-01,-0.827491
0.610352E-02,0.295769E-01,-0.691367
0.671387E-02,0.325346E-01,2.07606
0.732422E-02,0.354923E-01,-17.4129
0.793457E-02,0.384500E-01,-4.68325
0.854492E-02,0.414077E-01,-10.5911
0.915527E-02,0.443653E-01,-6.51320
0.976562E-02,0.473230E-01,16.5641
0.103760E-01,0.502807E-01,5.46071
0.109863E-01,0.532384E-01,-6.01905
0.115967E-01,0.561961E-01,-10.2288
0.122070E-01,0.591538E-01,18.0525
0.128174E-01,0.621115E-01,-1.57739
0.134277E-01,0.650692E-01,-3.74218
0.140381E-01,0.680269E-01,-8.33554
0.146484E-01,0.709845E-01,-11.4718
0.152588E-01,0.739422E-01,3.41894
0.158691E-01,0.768999E-01,13.4445
0.164795E-01,0.798576E-01,4.98760
0.170898E-01,0.828153E-01,7.89103
0.177002E-01,0.857730E-01,-2.44946
0.183105E-01,0.887307E-01,19.4223
0.189209E-01,0.916884E-01,-0.672325
0.195312E-01,0.946461E-01,-5.80106
0.201416E-01,0.976038E-01,-0.188193
0.207520E-01,0.100561,-16.1262
0.213623E-01,0.103519,-33.3680
0.219727E-01,0.106477,4.91557
0.225830E-01,0.109435,-11.1019
0.231934E-01,0.112392,15.5385
0.238037E-01,0.115350,8.18617
0.244141E-01,0.118308,-1.76102
0.250244E-01,0.121265,-4.62693
0.256348E-01,0.124223,3.19483
0.262451E-01,0.127181,-21.7658
0.268555E-01,0.130138,-24.6399
0.274658E-01,0.133096,-10.3745
0.280762E-01,0.136054,-15.3834
0.286865E-01,0.139011,-8.34055
0.292969E-01,0.141969,0.873731
0.299072E-01,0.144927,-5.69676
0.305176E-01,0.147884,14.2038
0.311279E-01,0.150842,-2.75133
0.317383E-01,0.153800,0.285076
0.323486E-01,0.156758,-3.46686
0.329590E-01,0.159715,-4.79026
0.335693E-01,0.162673,5.66098
0.341797E-01,0.165631,-18.6672
0.347900E-01,0.168588,4.06012
0.354004E-01,0.171546,-2.11475
0.360107E-01,0.174504,8.23823
0.366211E-01,0.177461,-7.11183
0.372314E-01,0.180419,-16.2933
0.378418E-01,0.183377,28.2196
0.384521E-01,0.186334,13.0437
0.390625E-01,0.189292,1.22333
0.396729E-01,0.192250,11.4998
0.402832E-01,0.195208,-16.5170
0.408936E-01,0.198165,-6.08222
0.415039E-01,0.201123,-12.3679
0.421143E-01,0.204081,-12.4713
0.427246E-01,0.207038,-3.75767
0.433350E-01,0.209996,-5.22325
0.439453E-01,0.212954,3.86512
0.445557E-01,0.215911,-2.97560
0.451660E-01,0.218869,-6.57531
