Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.237
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,4.1134247126451020E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.102566E-01,-1.78354
0.122070E-02,0.205133E-01,-0.485759
0.183105E-02,0.307699E-01,-0.847642E-01
0.244141E-02,0.410266E-01,0.111668
0.305176E-02,0.512832E-01,-0.463342
0.366211E-02,0.615399E-01,-0.300827
0.427246E-02,0.717965E-01,1.36209
0.488281E-02,0.820532E-01,1.31073
0.549316E-02,0.923098E-01,3.57362
0.610352E-02,0.102566,-0.889962
0.671387E-02,0.112823,0.542961
0.732422E-02,0.123080,3.37921
0.793457E-02,0.133336,1.56812
0.854492E-02,0.143593,2.85951
0.915527E-02,0.153850,-1.08606
0.976562E-02,0.164106,-0.569694
0.103760E-01,0.174363,1.32971
0.109863E-01,0.184620,0.580692
0.115967E-01,0.194876,1.56857
0.122070E-01,0.205133,0.731299
0.128174E-01,0.215390,0.875689
0.134277E-01,0.225646,2.72223
0.140381E-01,0.235903,1.39850
0.146484E-01,0.246160,1.88611
0.152588E-01,0.256416,-2.01658
0.158691E-01,0.266673,-0.771127
0.164795E-01,0.276930,0.916761
0.170898E-01,0.287186,-0.207062
0.177002E-01,0.297443,1.62766
0.183105E-01,0.307699,0.960791
0.189209E-01,0.317956,-1.85934
0.195312E-01,0.328213,0.957009
0.201416E-01,0.338469,1.58787
0.207520E-01,0.348726,0.276251E-01
0.213623E-01,0.358983,1.74327
0.219727E-01,0.369239,1.09845
0.225830E-01,0.379496,-1.14680
0.231934E-01,0.389753,3.04343
0.238037E-01,0.400009,1.89924
0.244141E-01,0.410266,3.24026
0.250244E-01,0.420523,2.37611
0.256348E-01,0.430779,0.422345
0.262451E-01,0.441036,-2.07114
0.268555E-01,0.451293,0.173990
0.274658E-01,0.461549,-0.112537
0.280762E-01,0.471806,-0.179032
0.286865E-01,0.482062,-2.70902
0.292969E-01,0.492319,1.77519
0.299072E-01,0.502576,0.593391
0.305176E-01,0.512832,1.22223
0.311279E-01,0.523089,0.587021E-01
0.317383E-01,0.533346,-0.314466E-01
0.323486E-01,0.543602,-0.830899
0.329590E-01,0.553859,1.46513
0.335693E-01,0.564116,4.54052
0.341797E-01,0.574372,-1.03966
0.347900E-01,0.584629,0.364927
0.354004E-01,0.594886,1.09604
0.360107E-01,0.605142,1.94623
0.366211E-01,0.615399,0.768945
0.372314E-01,0.625656,1.81388
0.378418E-01,0.635912,0.560029
0.384521E-01,0.646169,-0.335325
0.390625E-01,0.656426,0.426039
0.396729E-01,0.666682,3.35680
0.402832E-01,0.676939,2.24036
0.408936E-01,0.687195,0.175316
0.415039E-01,0.697452,0.428919
0.421143E-01,0.707709,0.449928
0.427246E-01,0.717965,-0.478420E-01
0.433350E-01,0.728222,1.37190
0.439453E-01,0.738479,-1.76740
0.445557E-01,0.748735,-0.151962
0.451660E-01,0.758992,3.96692
0.457764E-01,0.769249,-0.812365
0.463867E-01,0.779505,0.270661
0.469971E-01,0.789762,1.42770
0.476074E-01,0.800019,-0.153563
0.482178E-01,0.810275,0.253388
0.488281E-01,0.820532,-0.840789
0.494385E-01,0.830789,0.385144
0.500488E-01,0.841045,0.212339
0.506592E-01,0.851302,3.01071
0.512695E-01,0.861558,1.19310
0.518799E-01,0.871815,6.20497
0.524902E-01,0.882072,0.741536
0.531006E-01,0.892328,0.882998E-01
0.537109E-01,0.902585,1.28647
0.543213E-01,0.912842,0.298589
0.549316E-01,0.923098,-0.781066E-01
0.555420E-01,0.933355,0.286135
0.561523E-01,0.943612,0.945922E-01
0.567627E-01,0.953868,-0.376323
0.573730E-01,0.964125,0.283827
0.579834E-01,0.974382,0.605114
0.585938E-01,0.984638,-0.209201
0.592041E-01,0.994895,0.463093
0.598145E-01,1.00515,0.476599
0.604248E-01,1.01541,1.15217
0.610352E-01,1.02566,0.369319E-01
0.616455E-01,1.03592,0.533577E-01
0.622559E-01,1.04618,0.159751
0.628662E-01,1.05643,0.123862
0.634766E-01,1.06669,-0.186765
0.640869E-01,1.07695,-0.480766
0.646973E-01,1.08720,-0.306032
0.653076E-01,1.09746,0.317839
0.659180E-01,1.10772,-0.570904
0.665283E-01,1.11797,-0.364792E-01
0.671387E-01,1.12823,0.159701E-01
0.677490E-01,1.13849,2.42480
0.683594E-01,1.14874,0.211926
0.689697E-01,1.15900,0.699533
0.695801E-01,1.16926,-0.567382
0.701904E-01,1.17951,0.920584
0.708008E-01,1.18977,0.203921
0.714111E-01,1.20003,-0.480603
0.720215E-01,1.21028,-0.239958
0.726318E-01,1.22054,-2.15288
0.732422E-01,1.23080,-2.05080
0.738525E-01,1.24105,-0.945918
0.744629E-01,1.25131,5.02730
0.750732E-01,1.26157,-0.367019
0.756836E-01,1.27182,-0.389287
0.762939E-01,1.28208,0.547305
0.769043E-01,1.29234,0.874042
0.775146E-01,1.30259,0.225306
0.781250E-01,1.31285,-0.223173
0.787354E-01,1.32311,0.240151E-01
0.793457E-01,1.33336,-0.213381
0.799561E-01,1.34362,0.553624E-01
0.805664E-01,1.35388,1.22209
0.811768E-01,1.36413,-0.744345E-01
0.817871E-01,1.37439,-0.183063
0.823975E-01,1.38465,-0.478430
