Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.074
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-9.0375773260651204E-005
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.329537E-01,-0.341529
0.122070E-02,0.659074E-01,2.91556
0.183105E-02,0.988611E-01,0.714184
0.244141E-02,0.131815,1.66817
0.305176E-02,0.164769,-0.124066
0.366211E-02,0.197722,5.07865
0.427246E-02,0.230676,0.372544
0.488281E-02,0.263630,1.23975
0.549316E-02,0.296583,2.01750
0.610352E-02,0.329537,0.354515
0.671387E-02,0.362491,-0.145021
0.732422E-02,0.395445,-0.350234
0.793457E-02,0.428398,0.228944
0.854492E-02,0.461352,-0.131195
0.915527E-02,0.494306,-0.581874
0.976562E-02,0.527259,0.706009
0.103760E-01,0.560213,3.09353
0.109863E-01,0.593167,1.75446
0.115967E-01,0.626121,0.155186
0.122070E-01,0.659074,0.171871
0.128174E-01,0.692028,-0.804593
0.134277E-01,0.724982,1.30487
0.140381E-01,0.757935,0.790647
0.146484E-01,0.790889,0.138107E-01
0.152588E-01,0.823843,2.20413
0.158691E-01,0.856797,0.127593
0.164795E-01,0.889750,-1.56265
0.170898E-01,0.922704,1.98417
0.177002E-01,0.955658,-1.03080
0.183105E-01,0.988611,0.120282E-01
0.189209E-01,1.02157,0.313814
0.195312E-01,1.05452,0.943333
0.201416E-01,1.08747,-1.58996
0.207520E-01,1.12043,3.03276
0.213623E-01,1.15338,-0.478080
0.219727E-01,1.18633,0.324112E-01
0.225830E-01,1.21929,-0.421457
0.231934E-01,1.25224,2.12679
0.238037E-01,1.28519,0.853704
0.244141E-01,1.31815,2.01678
0.250244E-01,1.35110,0.370344
0.256348E-01,1.38406,0.866887
0.262451E-01,1.41701,-0.268371
0.268555E-01,1.44996,-3.04224
0.274658E-01,1.48292,-2.19431
0.280762E-01,1.51587,1.27730
0.286865E-01,1.54882,4.19905
0.292969E-01,1.58178,0.906408E-01
0.299072E-01,1.61473,-3.34093
0.305176E-01,1.64769,-1.48197
0.311279E-01,1.68064,-0.831511E-01
0.317383E-01,1.71359,-0.518728
0.323486E-01,1.74655,1.02792
0.329590E-01,1.77950,-2.77036
0.335693E-01,1.81245,5.47283
0.341797E-01,1.84541,2.73851
0.347900E-01,1.87836,-2.58052
0.354004E-01,1.91132,-4.61066
0.360107E-01,1.94427,4.71686
0.366211E-01,1.97722,-0.828601
0.372314E-01,2.01018,-5.57991
0.378418E-01,2.04313,-8.62743
0.384521E-01,2.07608,0.513438
0.390625E-01,2.10904,-5.81162
0.396729E-01,2.14199,-1.58583
0.402832E-01,2.17495,2.10296
0.408936E-01,2.20790,-0.279680
0.415039E-01,2.24085,0.397076
0.421143E-01,2.27381,-1.68905
0.427246E-01,2.30676,2.12168
0.433350E-01,2.33971,0.140443
0.439453E-01,2.37267,2.60292
0.445557E-01,2.40562,0.311617
0.451660E-01,2.43857,0.138313
0.457764E-01,2.47153,-1.95968
0.463867E-01,2.50448,1.56041
0.469971E-01,2.53744,-1.54203
0.476074E-01,2.57039,-2.93489
0.482178E-01,2.60334,-1.79857
0.488281E-01,2.63630,1.07840
0.494385E-01,2.66925,-2.57488
0.500488E-01,2.70220,1.96518
0.506592E-01,2.73516,-0.769628
0.512695E-01,2.76811,-0.767557
0.518799E-01,2.80107,-2.18085
0.524902E-01,2.83402,-3.54250
0.531006E-01,2.86697,-1.09817
0.537109E-01,2.89993,-0.527622
0.543213E-01,2.93288,-5.97051
0.549316E-01,2.96583,-0.144361
0.555420E-01,2.99879,2.77038
0.561523E-01,3.03174,-1.67175
0.567627E-01,3.06470,-0.473959
0.573730E-01,3.09765,0.110776
0.579834E-01,3.13060,0.520041
0.585938E-01,3.16356,-1.87718
0.592041E-01,3.19651,-1.72847
0.598145E-01,3.22946,0.568649
0.604248E-01,3.26242,0.887657
0.610352E-01,3.29537,-0.530457
0.616455E-01,3.32833,1.86404
0.622559E-01,3.36128,-0.357083
0.628662E-01,3.39423,0.147320
0.634766E-01,3.42719,-4.30600
0.640869E-01,3.46014,-0.900818
0.646973E-01,3.49309,0.462039
0.653076E-01,3.52605,-0.890526
0.659180E-01,3.55900,-4.07732
0.665283E-01,3.59196,-1.02803
