Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.105
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,3.0144736325186846E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.231364E-01,-0.154857
0.122070E-02,0.462729E-01,-1.81483
0.183105E-02,0.694093E-01,-0.930757
0.244141E-02,0.925457E-01,0.431704
0.305176E-02,0.115682,-0.658965
0.366211E-02,0.138819,0.166016
0.427246E-02,0.161955,-0.672849
0.488281E-02,0.185091,0.452610
0.549316E-02,0.208228,-0.785125
0.610352E-02,0.231364,-0.366282
0.671387E-02,0.254501,-0.115551
0.732422E-02,0.277637,-0.131278
0.793457E-02,0.300774,-0.220255
0.854492E-02,0.323910,1.18004
0.915527E-02,0.347046,0.556020
0.976562E-02,0.370183,0.958226
0.103760E-01,0.393319,0.434630E-01
0.109863E-01,0.416456,-0.352677
0.115967E-01,0.439592,0.354571
0.122070E-01,0.462729,0.818581
0.128174E-01,0.485865,0.718877
0.134277E-01,0.509001,1.38557
0.140381E-01,0.532138,-0.587570
0.146484E-01,0.555274,-0.402884
0.152588E-01,0.578411,-0.454463
0.158691E-01,0.601547,0.487452
0.164795E-01,0.624684,0.370212
0.170898E-01,0.647820,0.358571
0.177002E-01,0.670956,-0.901393E-01
0.183105E-01,0.694093,0.524231
0.189209E-01,0.717229,0.153348
0.195312E-01,0.740366,-0.445295E-01
0.201416E-01,0.763502,3.59136
0.207520E-01,0.786639,1.45660
0.213623E-01,0.809775,0.817955
0.219727E-01,0.832911,3.74712
0.225830E-01,0.856048,1.77002
0.231934E-01,0.879184,1.86954
0.238037E-01,0.902321,0.110901
0.244141E-01,0.925457,-0.947774E-01
0.250244E-01,0.948594,-0.475173
0.256348E-01,0.971730,1.83318
0.262451E-01,0.994866,0.971432
0.268555E-01,1.01800,0.328221
