Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.091
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,2.4090778666691984E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.267086E-01,-1.78391
0.122070E-02,0.534173E-01,0.628513
0.183105E-02,0.801259E-01,2.49765
0.244141E-02,0.106835,-0.564471
0.305176E-02,0.133543,2.07988
0.366211E-02,0.160252,1.44424
0.427246E-02,0.186961,-0.147582
0.488281E-02,0.213669,0.384835
0.549316E-02,0.240378,-0.440200
0.610352E-02,0.267086,0.379661E-01
0.671387E-02,0.293795,-0.475608
0.732422E-02,0.320504,-1.60285
0.793457E-02,0.347212,0.108094
0.854492E-02,0.373921,1.99445
0.915527E-02,0.400630,2.58826
0.976562E-02,0.427338,-0.529904
0.103760E-01,0.454047,1.60611
0.109863E-01,0.480756,0.403460
0.115967E-01,0.507464,-1.40243
0.122070E-01,0.534173,-0.993418
0.128174E-01,0.560882,-0.207286
0.134277E-01,0.587590,2.00828
0.140381E-01,0.614299,-2.90788
0.146484E-01,0.641008,1.22064
0.152588E-01,0.667716,-0.256939
0.158691E-01,0.694425,1.82716
0.164795E-01,0.721134,1.49244
0.170898E-01,0.747842,-0.101143
0.177002E-01,0.774551,-3.23049
0.183105E-01,0.801259,-3.21493
0.189209E-01,0.827968,-0.568767E-01
0.195312E-01,0.854677,-1.23524
0.201416E-01,0.881385,2.11440
0.207520E-01,0.908094,-1.20459
0.213623E-01,0.934803,0.122700E-03
0.219727E-01,0.961511,-0.467579
0.225830E-01,0.988220,0.278617
0.231934E-01,1.01493,0.424457
0.238037E-01,1.04164,4.39291
0.244141E-01,1.06835,-0.677645E-01
0.250244E-01,1.09505,-0.253011
0.256348E-01,1.12176,-0.263862
0.262451E-01,1.14847,-1.97344
0.268555E-01,1.17518,-0.217766
0.274658E-01,1.20189,-0.870108
0.280762E-01,1.22860,-0.304585
0.286865E-01,1.25531,-1.07647
0.292969E-01,1.28202,-0.140526
0.299072E-01,1.30872,1.44271
0.305176E-01,1.33543,4.06093
0.311279E-01,1.36214,0.210940
0.317383E-01,1.38885,1.02545
0.323486E-01,1.41556,-0.747660
0.329590E-01,1.44227,0.575571
0.335693E-01,1.46898,0.508179
0.341797E-01,1.49568,0.606875
0.347900E-01,1.52239,2.30982
0.354004E-01,1.54910,-0.558565
0.360107E-01,1.57581,0.274808
0.366211E-01,1.60252,4.23307
0.372314E-01,1.62923,-3.53106
0.378418E-01,1.65594,0.527938
0.384521E-01,1.68264,0.377059
0.390625E-01,1.70935,-2.41711
0.396729E-01,1.73606,-0.231399
0.402832E-01,1.76277,-1.93966
0.408936E-01,1.78948,-1.29100
0.415039E-01,1.81619,0.372248
0.421143E-01,1.84290,6.22540
0.427246E-01,1.86961,-0.707977
0.433350E-01,1.89631,-0.489676
0.439453E-01,1.92302,1.65061
0.445557E-01,1.94973,-2.77636
0.451660E-01,1.97644,2.96617
0.457764E-01,2.00315,1.92463
0.463867E-01,2.02986,-1.54524
0.469971E-01,2.05657,4.48482
0.476074E-01,2.08327,-0.583344
0.482178E-01,2.10998,-0.397182
0.488281E-01,2.13669,-0.889105
0.494385E-01,2.16340,1.06799
0.500488E-01,2.19011,0.180007
0.506592E-01,2.21682,-2.65837
0.512695E-01,2.24353,2.41077
0.518799E-01,2.27024,3.61164
0.524902E-01,2.29694,0.158890
0.531006E-01,2.32365,2.86717
0.537109E-01,2.35036,2.54649
0.543213E-01,2.37707,-1.99866
0.549316E-01,2.40378,-1.08501
0.555420E-01,2.43049,0.588729
0.561523E-01,2.45720,0.180089
0.567627E-01,2.48390,0.387444
0.573730E-01,2.51061,0.588812
0.579834E-01,2.53732,-0.518843
0.585938E-01,2.56403,-0.292028
0.592041E-01,2.59074,0.811474E-01
0.598145E-01,2.61745,2.79414
0.604248E-01,2.64416,0.720734
0.610352E-01,2.67086,1.62687
0.616455E-01,2.69757,-6.68042
0.622559E-01,2.72428,-2.13899
0.628662E-01,2.75099,-0.702558
0.634766E-01,2.77770,-0.173044
0.640869E-01,2.80441,0.573800
0.646973E-01,2.83112,0.563295
0.653076E-01,2.85783,-1.43472
0.659180E-01,2.88453,0.368232
0.665283E-01,2.91124,1.97988
0.671387E-01,2.93795,-0.501789
0.677490E-01,2.96466,-1.21643
0.683594E-01,2.99137,-0.423798E-02
0.689697E-01,3.01808,-0.465349
0.695801E-01,3.04479,-0.342269
0.701904E-01,3.07149,3.85497
0.708008E-01,3.09820,7.96106
0.714111E-01,3.12491,1.97771
0.720215E-01,3.15162,1.88196
0.726318E-01,3.17833,0.298174
0.732422E-01,3.20504,0.198449
0.738525E-01,3.23175,1.69806
0.744629E-01,3.25846,-5.07777
0.750732E-01,3.28516,-0.197230
0.756836E-01,3.31187,1.12971
0.762939E-01,3.33858,-2.03203
0.769043E-01,3.36529,0.402146
0.775146E-01,3.39200,3.15956
0.781250E-01,3.41871,0.344928
0.787354E-01,3.44542,-0.391131
0.793457E-01,3.47212,-1.23392
0.799561E-01,3.49883,1.81848
0.805664E-01,3.52554,-2.44380
0.811768E-01,3.55225,-0.579728
0.817871E-01,3.57896,-0.939091
0.823975E-01,3.60567,1.82613
0.830078E-01,3.63238,-0.835946
0.836182E-01,3.65908,1.83634
0.842285E-01,3.68579,1.62572
0.848389E-01,3.71250,-1.31500
0.854492E-01,3.73921,-0.162725
0.860596E-01,3.76592,1.86416
0.866699E-01,3.79263,0.698072E-01
0.872803E-01,3.81934,-0.212274
0.878906E-01,3.84605,0.487713
0.885010E-01,3.87275,1.45122
0.891113E-01,3.89946,0.402055
0.897217E-01,3.92617,0.897102
0.903320E-01,3.95288,0.217286E-01
0.909424E-01,3.97959,-0.817520
0.915527E-01,4.00630,-0.847487E-01
0.921631E-01,4.03301,0.450624E-01
0.927734E-01,4.05971,0.572264
0.933838E-01,4.08642,-0.657302
0.939941E-01,4.11313,0.119471
0.946045E-01,4.13984,0.184776
0.952148E-01,4.16655,0.941447
0.958252E-01,4.19326,-1.29097
0.964355E-01,4.21997,0.377885
0.970459E-01,4.24668,0.790717
0.976562E-01,4.27338,1.54176
0.982666E-01,4.30009,-0.243808
0.988770E-01,4.32680,1.46726
0.994873E-01,4.35351,0.724049
0.100098,4.38022,1.31798
0.100708,4.40693,0.219532E-01
0.101318,4.43364,-0.565040
0.101929,4.46034,2.58629
0.102539,4.48705,-0.522220E-01
0.103149,4.51376,-0.334117
0.103760,4.54047,0.780116
0.104370,4.56718,2.03522
0.104980,4.59389,3.36617
0.105591,4.62060,-1.16905
0.106201,4.64730,3.57629
0.106812,4.67401,5.10621
0.107422,4.70072,0.828998
0.108032,4.72743,-0.661992
0.108643,4.75414,-0.796551
0.109253,4.78085,1.76069
0.109863,4.80756,0.507897
0.110474,4.83427,-1.45844
0.111084,4.86097,0.697037E-01
0.111694,4.88768,0.568440
0.112305,4.91439,0.828982
0.112915,4.94110,-0.193599
0.113525,4.96781,1.28541
0.114136,4.99452,0.509470
0.114746,5.02123,0.289512
0.115356,5.04793,-0.810144
0.115967,5.07464,5.77413
0.116577,5.10135,1.40503
0.117188,5.12806,-0.398736E-01
0.117798,5.15477,1.27145
0.118408,5.18148,-0.286728
0.119019,5.20819,0.484327E-01
0.119629,5.23490,-0.692214
0.120239,5.26160,-0.222213
0.120850,5.28831,-0.174432
0.121460,5.31502,-0.845127
0.122070,5.34173,0.264319
0.122681,5.36844,0.147667
0.123291,5.39515,-0.741832
0.123901,5.42186,1.74903
0.124512,5.44856,0.870705E-01
0.125122,5.47527,-0.656797E-01
0.125732,5.50198,3.77538
0.126343,5.52869,-0.167324
0.126953,5.55540,0.278283
0.127563,5.58211,-0.332134
0.128174,5.60882,0.311360
0.128784,5.63552,-0.642143
0.129395,5.66223,-0.309640
0.130005,5.68894,0.712563
0.130615,5.71565,3.90710
0.131226,5.74236,-1.18455
0.131836,5.76907,0.245634E-01
0.132446,5.79578,-0.906989
0.133057,5.82249,0.394417
0.133667,5.84919,0.592948E-01
0.134277,5.87590,0.387231
0.134888,5.90261,-0.376878
0.135498,5.92932,-0.227010E-01
0.136108,5.95603,0.462254
0.136719,5.98274,0.653504
0.137329,6.00945,0.429853
0.137939,6.03615,1.32149
0.138550,6.06286,0.282166E-02
0.139160,6.08957,0.169879
0.139771,6.11628,0.513372
0.140381,6.14299,2.83304
0.140991,6.16970,0.136932
0.141602,6.19641,0.177421
0.142212,6.22312,-1.48288
0.142822,6.24982,1.29610
0.143433,6.27653,1.08831
0.144043,6.30324,2.66957
0.144653,6.32995,0.971194
0.145264,6.35666,2.27768
0.145874,6.38337,0.736027
0.146484,6.41008,-0.223519
0.147095,6.43678,1.02380
0.147705,6.46349,0.299465
0.148315,6.49020,0.451484
0.148926,6.51691,0.171878
0.149536,6.54362,0.482565E-01
0.150146,6.57033,0.381902
0.150757,6.59704,0.591782
0.151367,6.62374,0.591906
0.151978,6.65045,-1.21417
0.152588,6.67716,-0.615817
0.153198,6.70387,0.116527
0.153809,6.73058,-1.01274
0.154419,6.75729,2.15186
0.155029,6.78400,0.232590
0.155640,6.81071,-0.541082
0.156250,6.83741,2.19848
0.156860,6.86412,3.47507
0.157471,6.89083,-1.77118
0.158081,6.91754,2.40262
0.158691,6.94425,5.01946
0.159302,6.97096,0.185510
0.159912,6.99767,5.42299
0.160522,7.02437,0.329679
0.161133,7.05108,1.83500
0.161743,7.07779,-0.778855
0.162354,7.10450,0.557779
0.162964,7.13121,1.33384
0.163574,7.15792,1.38197
0.164185,7.18463,0.240877
0.164795,7.21134,1.87579
0.165405,7.23804,0.691951E-01
0.166016,7.26475,-0.928497
0.166626,7.29146,0.550707
0.167236,7.31817,-0.260634
0.167847,7.34488,0.481197E-01
0.168457,7.37159,-0.192322
0.169067,7.39830,-0.562771E-01
0.169678,7.42500,1.39692
0.170288,7.45171,0.150357E-02
0.170898,7.47842,2.73593
0.171509,7.50513,2.84490
0.172119,7.53184,0.148032
0.172729,7.55855,0.297690
0.173340,7.58526,-0.653579E-02
0.173950,7.61196,-0.377295
0.174561,7.63867,-1.15742
0.175171,7.66538,-2.44945
0.175781,7.69209,0.170669
0.176392,7.71880,0.437263
0.177002,7.74551,-0.221459E-01
0.177612,7.77222,0.220903
0.178223,7.79893,-0.721107
0.178833,7.82563,-0.520795
0.179443,7.85234,0.188437
0.180054,7.87905,0.357066
0.180664,7.90576,-2.09001
0.181274,7.93247,0.598773
0.181885,7.95918,-0.100243
0.182495,7.98589,-0.338139
0.183105,8.01259,-0.881387E-01
0.183716,8.03930,-1.67576
0.184326,8.06601,-0.849658E-02
0.184937,8.09272,-1.96284
0.185547,8.11943,-0.344858
0.186157,8.14614,-0.297859
0.186768,8.17285,0.442645
0.187378,8.19956,-0.328952E-01
0.187988,8.22626,0.319563
0.188599,8.25297,1.21640
0.189209,8.27968,1.18477
0.189819,8.30639,-0.771456E-01
0.190430,8.33310,2.02242
0.191040,8.35981,0.377977
0.191650,8.38652,-0.332672
0.192261,8.41322,-0.770474
0.192871,8.43993,1.20430
0.193481,8.46664,1.14672
0.194092,8.49335,0.196820
0.194702,8.52006,-0.352027
0.195312,8.54677,-0.344062
0.195923,8.57348,-2.71177
0.196533,8.60018,0.176558
0.197144,8.62689,0.118819
0.197754,8.65360,2.11696
0.198364,8.68031,1.62093
0.198975,8.70702,-0.493203
0.199585,8.73373,0.906394
0.200195,8.76044,-0.588803
0.200806,8.78715,2.66332
0.201416,8.81385,0.384044
0.202026,8.84056,0.146813
0.202637,8.86727,-0.142232
0.203247,8.89398,1.40756
0.203857,8.92069,-0.887261
0.204468,8.94740,-0.382411
0.205078,8.97411,2.24852
0.205688,9.00081,0.361902
0.206299,9.02752,-0.728106
0.206909,9.05423,-1.42659
0.207520,9.08094,0.233900
0.208130,9.10765,-1.41734
0.208740,9.13436,0.208847
0.209351,9.16107,-0.839815
0.209961,9.18778,-1.97360
0.210571,9.21448,-0.350735
0.211182,9.24119,-0.384636
0.211792,9.26790,0.203039E-01
0.212402,9.29461,-0.267226
0.213013,9.32132,1.33534
0.213623,9.34803,-2.11384
0.214233,9.37474,2.34296
0.214844,9.40144,0.729628
0.215454,9.42815,-0.167159
