Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.155
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,1.0456640846518187E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.157215E-01,0.971463E-01
0.122070E-02,0.314429E-01,-0.253454
0.183105E-02,0.471644E-01,-0.112990
0.244141E-02,0.628858E-01,0.781199
0.305176E-02,0.786073E-01,-0.539677
0.366211E-02,0.943287E-01,0.607624
0.427246E-02,0.110050,0.126802
0.488281E-02,0.125772,-0.156584
0.549316E-02,0.141493,0.218968
0.610352E-02,0.157215,0.551057E-02
0.671387E-02,0.172936,-0.143661
0.732422E-02,0.188657,-0.201197
0.793457E-02,0.204379,-0.947560E-01
0.854492E-02,0.220100,0.277359
0.915527E-02,0.235822,0.335899
0.976562E-02,0.251543,0.407309
0.103760E-01,0.267265,0.191100
0.109863E-01,0.282986,0.947614E-01
0.115967E-01,0.298708,0.475099
0.122070E-01,0.314429,0.472998
0.128174E-01,0.330151,-0.183092
0.134277E-01,0.345872,0.255708E-01
0.140381E-01,0.361593,-0.278231
0.146484E-01,0.377315,-0.221524E-01
0.152588E-01,0.393036,0.120047
0.158691E-01,0.408758,0.293290
0.164795E-01,0.424479,0.381563
0.170898E-01,0.440201,-0.104169
0.177002E-01,0.455922,0.951378
0.183105E-01,0.471644,0.177841
0.189209E-01,0.487365,0.512786
0.195312E-01,0.503087,0.362275
0.201416E-01,0.518808,-0.197020
0.207520E-01,0.534529,0.590571
0.213623E-01,0.550251,0.150192
0.219727E-01,0.565972,-0.113082
0.225830E-01,0.581694,0.745042E-01
0.231934E-01,0.597415,0.490342
0.238037E-01,0.613137,0.392123E-01
0.244141E-01,0.628858,-0.212104E-01
0.250244E-01,0.644580,0.146711
0.256348E-01,0.660301,-0.171553E-01
0.262451E-01,0.676023,0.131594
0.268555E-01,0.691744,0.233328
0.274658E-01,0.707466,-0.971274E-01
0.280762E-01,0.723187,0.159634
