Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.056
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-7.0550821223120094E-006
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.438634E-01,5.31295
0.122070E-02,0.877268E-01,4.76083
0.183105E-02,0.131590,-6.12039
0.244141E-02,0.175454,-4.17720
0.305176E-02,0.219317,3.91466
0.366211E-02,0.263181,15.2209
0.427246E-02,0.307044,-5.16835
0.488281E-02,0.350907,7.53765
0.549316E-02,0.394771,18.1539
0.610352E-02,0.438634,2.87740
0.671387E-02,0.482498,1.70319
0.732422E-02,0.526361,-3.63544
0.793457E-02,0.570224,6.97628
0.854492E-02,0.614088,-6.38057
0.915527E-02,0.657951,2.60141
0.976562E-02,0.701815,-9.54960
0.103760E-01,0.745678,1.15060
0.109863E-01,0.789542,-3.59222
0.115967E-01,0.833405,-0.522159
0.122070E-01,0.877268,12.6705
0.128174E-01,0.921132,9.38843
0.134277E-01,0.964995,4.61367
0.140381E-01,1.00886,-30.1514
0.146484E-01,1.05272,-10.5546
0.152588E-01,1.09659,16.7146
0.158691E-01,1.14045,18.7861
0.164795E-01,1.18431,-12.4060
0.170898E-01,1.22818,7.97982
0.177002E-01,1.27204,6.41994
0.183105E-01,1.31590,10.1806
0.189209E-01,1.35977,25.5889
0.195312E-01,1.40363,8.00576
0.201416E-01,1.44749,1.53346
0.207520E-01,1.49136,9.45411
0.213623E-01,1.53522,-15.6834
0.219727E-01,1.57908,-2.11873
0.225830E-01,1.62295,-2.98856
0.231934E-01,1.66681,3.09938
0.238037E-01,1.71067,-2.52143
0.244141E-01,1.75454,-13.0787
0.250244E-01,1.79840,19.3559
0.256348E-01,1.84226,2.41712
0.262451E-01,1.88613,-2.69483
0.268555E-01,1.92999,7.65341
0.274658E-01,1.97385,30.2950
0.280762E-01,2.01772,-15.2221
0.286865E-01,2.06158,-16.5591
0.292969E-01,2.10544,44.3693
0.299072E-01,2.14931,-4.18204
0.305176E-01,2.19317,4.50042
0.311279E-01,2.23703,12.0293
0.317383E-01,2.28090,18.6498
0.323486E-01,2.32476,-9.22080
0.329590E-01,2.36862,18.4743
0.335693E-01,2.41249,-34.7405
0.341797E-01,2.45635,-20.8541
0.347900E-01,2.50021,-10.9945
0.354004E-01,2.54408,26.1513
0.360107E-01,2.58794,-20.6659
0.366211E-01,2.63181,-0.691990
0.372314E-01,2.67567,-75.5776
0.378418E-01,2.71953,-7.20158
0.384521E-01,2.76340,12.5692
0.390625E-01,2.80726,13.6448
0.396729E-01,2.85112,-13.2407
0.402832E-01,2.89499,3.06137
0.408936E-01,2.93885,7.92053
0.415039E-01,2.98271,48.4793
0.421143E-01,3.02658,-5.11845
0.427246E-01,3.07044,-8.46433
0.433350E-01,3.11430,-9.65016
0.439453E-01,3.15817,28.9962
0.445557E-01,3.20203,-3.75753
0.451660E-01,3.24589,25.1804
0.457764E-01,3.28976,-2.75355
0.463867E-01,3.33362,-15.8758
0.469971E-01,3.37748,-10.1467
0.476074E-01,3.42135,-5.58285
0.482178E-01,3.46521,-52.3211
0.488281E-01,3.50907,-1.80156
0.494385E-01,3.55294,-48.8464
0.500488E-01,3.59680,-7.77383
0.506592E-01,3.64066,-3.79317
0.512695E-01,3.68453,-2.92271
0.518799E-01,3.72839,-8.27922
0.524902E-01,3.77225,-1.45903
0.531006E-01,3.81612,-62.1826
0.537109E-01,3.85998,1.87430
0.543213E-01,3.90384,-5.75954
0.549316E-01,3.94771,0.557923
0.555420E-01,3.99157,-5.83051
0.561523E-01,4.03543,-2.03809
0.567627E-01,4.07930,-32.6379
0.573730E-01,4.12316,0.561349
0.579834E-01,4.16702,-14.4282
0.585938E-01,4.21089,-13.5180
0.592041E-01,4.25475,-6.61277
0.598145E-01,4.29862,-12.8788
0.604248E-01,4.34248,-15.4843
0.610352E-01,4.38634,-4.38516
0.616455E-01,4.43021,-10.3975
0.622559E-01,4.47407,-5.21778
0.628662E-01,4.51793,-0.969863
0.634766E-01,4.56180,-15.4659
0.640869E-01,4.60566,-5.60278
0.646973E-01,4.64952,-15.3448
0.653076E-01,4.69339,19.3570
0.659180E-01,4.73725,-0.919687
0.665283E-01,4.78111,20.9334
0.671387E-01,4.82498,-33.8318
0.677490E-01,4.86884,2.71050
0.683594E-01,4.91270,-17.5990
0.689697E-01,4.95657,-9.60389
0.695801E-01,5.00043,0.628964
0.701904E-01,5.04429,7.50303
0.708008E-01,5.08816,-23.6500
0.714111E-01,5.13202,-3.91663
0.720215E-01,5.17588,2.85605
0.726318E-01,5.21975,-5.01154
0.732422E-01,5.26361,-3.96980
0.738525E-01,5.30747,5.20499
0.744629E-01,5.35134,-9.62900
0.750732E-01,5.39520,14.8343
0.756836E-01,5.43906,-28.1437
0.762939E-01,5.48293,4.79840
0.769043E-01,5.52679,-1.42408
0.775146E-01,5.57065,-11.4511
0.781250E-01,5.61452,-20.0354
0.787354E-01,5.65838,-17.0090
0.793457E-01,5.70224,-12.4909
0.799561E-01,5.74611,-20.2741
0.805664E-01,5.78997,-4.26895
0.811768E-01,5.83383,-0.983013
0.817871E-01,5.87770,13.6923
0.823975E-01,5.92156,-24.7554
0.830078E-01,5.96543,-10.9813
0.836182E-01,6.00929,-0.243754
0.842285E-01,6.05315,0.945579
0.848389E-01,6.09702,-24.1383
