Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.210
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,2.0808610899161438E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.116036E-01,0.618422
0.122070E-02,0.232073E-01,0.488063
0.183105E-02,0.348109E-01,0.209679
0.244141E-02,0.464145E-01,0.589120E-02
0.305176E-02,0.580182E-01,0.227090E-01
0.366211E-02,0.696218E-01,0.279719
0.427246E-02,0.812255E-01,-0.111822
0.488281E-02,0.928291E-01,0.106576E-01
0.549316E-02,0.104433,-0.881236E-01
0.610352E-02,0.116036,-0.283166E-01
0.671387E-02,0.127640,-0.168986E-01
0.732422E-02,0.139244,0.327683E-01
0.793457E-02,0.150847,-0.954938E-02
0.854492E-02,0.162451,-0.422732E-02
0.915527E-02,0.174055,-0.289988E-01
0.976562E-02,0.185658,-0.427418E-01
0.103760E-01,0.197262,-0.230828E-02
0.109863E-01,0.208865,0.109253E-01
0.115967E-01,0.220469,-0.678509E-01
0.122070E-01,0.232073,0.324320E-01
0.128174E-01,0.243676,0.245252E-01
0.134277E-01,0.255280,0.138087
0.140381E-01,0.266884,-0.144796
0.146484E-01,0.278487,-0.675503E-04
0.152588E-01,0.290091,-0.117910E-01
0.158691E-01,0.301695,-0.862439E-02
0.164795E-01,0.313298,0.435529E-01
0.170898E-01,0.324902,0.176913E-01
0.177002E-01,0.336505,0.492046E-01
0.183105E-01,0.348109,-0.103294
0.189209E-01,0.359713,-0.201470E-01
0.195312E-01,0.371316,-0.798199E-03
0.201416E-01,0.382920,0.162719E-01
0.207520E-01,0.394524,-0.223288E-01
0.213623E-01,0.406127,0.534647E-01
0.219727E-01,0.417731,0.195959
0.225830E-01,0.429335,-0.113234E-01
0.231934E-01,0.440938,-0.271071E-01
0.238037E-01,0.452542,-0.155773E-01
0.244141E-01,0.464145,-0.555569E-01
0.250244E-01,0.475749,0.134186
0.256348E-01,0.487353,-0.745872E-01
0.262451E-01,0.498956,0.951774E-01
0.268555E-01,0.510560,-0.117851E-01
0.274658E-01,0.522164,-0.202492E-01
0.280762E-01,0.533767,0.166712E-02
0.286865E-01,0.545371,-0.491753E-03
0.292969E-01,0.556975,-0.230554E-01
0.299072E-01,0.568578,-0.214243E-01
0.305176E-01,0.580182,-0.114574E-01
0.311279E-01,0.591786,0.566249E-02
0.317383E-01,0.603389,0.382302E-01
0.323486E-01,0.614993,-0.181578E-01
0.329590E-01,0.626596,0.132907E-01
0.335693E-01,0.638200,0.580581E-01
0.341797E-01,0.649804,0.368656E-01
0.347900E-01,0.661407,0.810176E-01
0.354004E-01,0.673011,-0.249149E-01
0.360107E-01,0.684615,0.110941
0.366211E-01,0.696218,0.189518E-01
0.372314E-01,0.707822,-0.804842E-01
0.378418E-01,0.719426,-0.524783E-01
0.384521E-01,0.731029,-0.992875E-01
0.390625E-01,0.742633,0.409949E-01
0.396729E-01,0.754236,0.111779E-01
0.402832E-01,0.765840,-0.856231E-02
0.408936E-01,0.777444,0.288326E-01
0.415039E-01,0.789047,0.569219E-02
0.421143E-01,0.800651,-0.118319
0.427246E-01,0.812255,-0.159729
0.433350E-01,0.823858,0.269125E-01
0.439453E-01,0.835462,0.135351
0.445557E-01,0.847066,-0.117300E-01
0.451660E-01,0.858669,0.263700E-01
0.457764E-01,0.870273,0.113859E-01
0.463867E-01,0.881876,0.603182E-01
0.469971E-01,0.893480,-0.722919E-01
0.476074E-01,0.905084,-0.823180E-02
0.482178E-01,0.916687,-0.315849E-01
0.488281E-01,0.928291,-0.131185E-02
0.494385E-01,0.939895,0.461295E-01
0.500488E-01,0.951498,-0.403688E-01
0.506592E-01,0.963102,0.449349E-01
0.512695E-01,0.974706,0.214000
0.518799E-01,0.986309,0.641525E-01
0.524902E-01,0.997913,0.263907E-02
0.531006E-01,1.00952,0.490352E-01
0.537109E-01,1.02112,0.171350
0.543213E-01,1.03272,-0.416877E-01
0.549316E-01,1.04433,0.541068E-02
0.555420E-01,1.05593,-0.248040E-01
0.561523E-01,1.06753,-0.419085E-02
0.567627E-01,1.07914,-0.139793E-01
0.573730E-01,1.09074,0.369220E-01
0.579834E-01,1.10235,0.312776E-03
0.585938E-01,1.11395,0.350100E-01
0.592041E-01,1.12555,0.269065E-01
0.598145E-01,1.13716,-0.574604E-02
0.604248E-01,1.14876,0.160524E-01
0.610352E-01,1.16036,0.116233E-01
0.616455E-01,1.17197,-0.210004E-01
0.622559E-01,1.18357,-0.355792E-01
0.628662E-01,1.19517,0.831011E-01
0.634766E-01,1.20678,0.873249E-02
0.640869E-01,1.21838,-0.256172E-01
0.646973E-01,1.22999,0.281548
0.653076E-01,1.24159,0.151666
0.659180E-01,1.25319,0.328178E-01
0.665283E-01,1.26480,0.260368E-01
0.671387E-01,1.27640,0.873255E-03
0.677490E-01,1.28800,0.683276E-02
0.683594E-01,1.29961,-0.258862E-01
0.689697E-01,1.31121,0.248737E-01
0.695801E-01,1.32281,0.124665
0.701904E-01,1.33442,-0.317185E-02
0.708008E-01,1.34602,-0.312608E-01
0.714111E-01,1.35763,0.139462
