Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.078
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-3.9494583922206419E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.310771E-01,0.951349
0.122070E-02,0.621542E-01,0.225001
0.183105E-02,0.932313E-01,0.364222
0.244141E-02,0.124308,0.545171
0.305176E-02,0.155385,0.309357
0.366211E-02,0.186463,0.253603
0.427246E-02,0.217540,0.110978
0.488281E-02,0.248617,0.360045
0.549316E-02,0.279694,-0.624729E-01
0.610352E-02,0.310771,0.146275E-01
0.671387E-02,0.341848,0.103477
0.732422E-02,0.372925,0.874292E-01
0.793457E-02,0.404002,-0.483864E-01
0.854492E-02,0.435079,-0.142310
0.915527E-02,0.466156,0.116282
0.976562E-02,0.497233,0.301179
0.103760E-01,0.528310,0.184827
0.109863E-01,0.559388,-0.354868
0.115967E-01,0.590465,0.125695
0.122070E-01,0.621542,-0.151280
0.128174E-01,0.652619,-0.583359E-02
0.134277E-01,0.683696,0.290923E-02
0.140381E-01,0.714773,-0.793929E-01
0.146484E-01,0.745850,0.176507E-01
0.152588E-01,0.776927,-0.110094
0.158691E-01,0.808004,-0.177674
0.164795E-01,0.839081,0.165577
0.170898E-01,0.870158,-0.311470E-01
0.177002E-01,0.901236,0.104296
0.183105E-01,0.932313,-0.419547E-01
0.189209E-01,0.963390,0.321606
0.195312E-01,0.994467,0.337404E-01
0.201416E-01,1.02554,0.428738E-01
0.207520E-01,1.05662,-0.892093E-02
0.213623E-01,1.08770,-0.410307
0.219727E-01,1.11878,0.193210
0.225830E-01,1.14985,0.106405
0.231934E-01,1.18093,0.699101E-01
0.238037E-01,1.21201,0.120339
0.244141E-01,1.24308,0.533971E-01
0.250244E-01,1.27416,-0.418675E-01
0.256348E-01,1.30524,0.102896E-01
0.262451E-01,1.33631,0.178203
0.268555E-01,1.36739,-0.774174
0.274658E-01,1.39847,-0.483778
0.280762E-01,1.42955,-0.796852
0.286865E-01,1.46062,-0.101051
0.292969E-01,1.49170,0.277196
0.299072E-01,1.52278,0.359920
0.305176E-01,1.55385,0.627860E-01
0.311279E-01,1.58493,-0.588149E-01
0.317383E-01,1.61601,-0.696667
0.323486E-01,1.64709,0.164565
0.329590E-01,1.67816,-0.308654
0.335693E-01,1.70924,-0.253930E-01
0.341797E-01,1.74032,-0.353203E-01
0.347900E-01,1.77139,-0.331637
0.354004E-01,1.80247,-0.252379
0.360107E-01,1.83355,-0.190906
0.366211E-01,1.86463,-0.141750
0.372314E-01,1.89570,-0.458821E-01
0.378418E-01,1.92678,0.352104
0.384521E-01,1.95786,0.263711E-01
0.390625E-01,1.98893,-0.691620E-01
0.396729E-01,2.02001,-0.517223E-01
0.402832E-01,2.05109,-0.149144
0.408936E-01,2.08216,0.471756
0.415039E-01,2.11324,0.943713E-02
0.421143E-01,2.14432,-0.791164E-01
0.427246E-01,2.17540,0.534750E-02
0.433350E-01,2.20647,-0.921586E-01
0.439453E-01,2.23755,0.101043
0.445557E-01,2.26863,-0.130831
0.451660E-01,2.29970,0.542349
0.457764E-01,2.33078,0.150340
0.463867E-01,2.36186,-0.120958
0.469971E-01,2.39294,-0.746189
0.476074E-01,2.42401,0.268405E-01
0.482178E-01,2.45509,0.841008E-01
0.488281E-01,2.48617,0.488082
0.494385E-01,2.51724,-0.176965
0.500488E-01,2.54832,-0.800021
0.506592E-01,2.57940,-0.364676E-01
0.512695E-01,2.61048,0.413906
0.518799E-01,2.64155,-0.322022
0.524902E-01,2.67263,-0.697986E-02
0.531006E-01,2.70371,-0.199166E-01
0.537109E-01,2.73478,-0.129191
0.543213E-01,2.76586,0.308125
0.549316E-01,2.79694,0.454583
0.555420E-01,2.82801,-1.20221
0.561523E-01,2.85909,-0.487152
0.567627E-01,2.89017,-0.395750
0.573730E-01,2.92125,0.103633E-01
0.579834E-01,2.95232,-0.433319
0.585938E-01,2.98340,-0.656270
0.592041E-01,3.01448,-0.723350
0.598145E-01,3.04555,-0.390332
0.604248E-01,3.07663,-0.972340
0.610352E-01,3.10771,-0.613425
0.616455E-01,3.13879,-0.332680
0.622559E-01,3.16986,-0.437530
0.628662E-01,3.20094,-0.905287
0.634766E-01,3.23202,0.375535
0.640869E-01,3.26309,-0.100537
0.646973E-01,3.29417,-0.543199
0.653076E-01,3.32525,-0.645757E-01
0.659180E-01,3.35633,-0.310861E-03
0.665283E-01,3.38740,-0.109796E-01
0.671387E-01,3.41848,0.812693E-01
0.677490E-01,3.44956,-0.500770
0.683594E-01,3.48063,0.208116E-01
0.689697E-01,3.51171,-0.292408
0.695801E-01,3.54279,-0.652169
0.701904E-01,3.57387,-0.113884
0.708008E-01,3.60494,-0.149454
0.714111E-01,3.63602,0.102550
0.720215E-01,3.66710,-0.502513
0.726318E-01,3.69817,-0.581847E-01
0.732422E-01,3.72925,-0.415419
0.738525E-01,3.76033,-0.230386
0.744629E-01,3.79140,-0.411384
0.750732E-01,3.82248,0.274122E-01
0.756836E-01,3.85356,-0.220966
0.762939E-01,3.88464,-0.646319
0.769043E-01,3.91571,0.109974
