Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.288
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,1.5021619028606065E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.844504E-02,-0.443721E-01
0.122070E-02,0.168901E-01,0.886985E-01
0.183105E-02,0.253351E-01,0.331988
0.244141E-02,0.337802E-01,-0.140519
0.305176E-02,0.422252E-01,0.809399
0.366211E-02,0.506702E-01,0.587622
0.427246E-02,0.591153E-01,-0.427767E-01
0.488281E-02,0.675603E-01,0.332660
0.549316E-02,0.760054E-01,0.333884
0.610352E-02,0.844504E-01,0.301927
0.671387E-02,0.928954E-01,0.324873
0.732422E-02,0.101340,0.114795
0.793457E-02,0.109786,0.919156
0.854492E-02,0.118231,-0.250718
0.915527E-02,0.126676,-0.212365E-01
0.976562E-02,0.135121,0.313106E-01
0.103760E-01,0.143566,-0.214371
0.109863E-01,0.152011,0.336895E-01
0.115967E-01,0.160456,-0.410764
0.122070E-01,0.168901,0.572928
0.128174E-01,0.177346,0.728228
0.134277E-01,0.185791,0.284638
0.140381E-01,0.194236,0.169336E-01
0.146484E-01,0.202681,0.262133
0.152588E-01,0.211126,0.178200
0.158691E-01,0.219571,-0.828137E-01
0.164795E-01,0.228016,0.150274
0.170898E-01,0.236461,0.168039
0.177002E-01,0.244906,0.101731
0.183105E-01,0.253351,0.350487
0.189209E-01,0.261796,0.193523
0.195312E-01,0.270241,0.299085E-01
0.201416E-01,0.278686,0.334720
0.207520E-01,0.287131,-0.221579
0.213623E-01,0.295576,0.123249
0.219727E-01,0.304021,-0.151762
0.225830E-01,0.312466,0.311625
0.231934E-01,0.320911,-0.269834E-01
0.238037E-01,0.329357,-0.100693
0.244141E-01,0.337802,-0.896481E-02
0.250244E-01,0.346247,0.129844
0.256348E-01,0.354692,-0.614834E-01
0.262451E-01,0.363137,0.414178
0.268555E-01,0.371582,0.136125
0.274658E-01,0.380027,-0.403030E-01
0.280762E-01,0.388472,0.120123
0.286865E-01,0.396917,0.708529
0.292969E-01,0.405362,-0.560240E-01
0.299072E-01,0.413807,0.235797
0.305176E-01,0.422252,0.374739
0.311279E-01,0.430697,-0.167766
0.317383E-01,0.439142,0.947257
0.323486E-01,0.447587,0.304200
0.329590E-01,0.456032,0.240660
0.335693E-01,0.464477,-0.843865E-01
0.341797E-01,0.472922,0.754083E-01
0.347900E-01,0.481367,0.357808E-01
0.354004E-01,0.489812,0.267692
0.360107E-01,0.498257,0.129085
0.366211E-01,0.506702,0.902398E-02
0.372314E-01,0.515147,0.290337E-01
0.378418E-01,0.523592,0.163126
0.384521E-01,0.532037,-0.504840E-01
0.390625E-01,0.540482,-0.177989
0.396729E-01,0.548928,1.09709
0.402832E-01,0.557373,-0.122866
0.408936E-01,0.565818,-0.183568E-01
0.415039E-01,0.574263,0.434406
0.421143E-01,0.582708,-0.142401E-01
0.427246E-01,0.591153,-0.124531
0.433350E-01,0.599598,0.492540
0.439453E-01,0.608043,0.164975
0.445557E-01,0.616488,0.602272
0.451660E-01,0.624933,-0.850099E-01
0.457764E-01,0.633378,0.191443E-01
0.463867E-01,0.641823,0.263547
0.469971E-01,0.650268,0.827204E-01
0.476074E-01,0.658713,0.751997
0.482178E-01,0.667158,-0.140327E-01
0.488281E-01,0.675603,-0.485704E-01
0.494385E-01,0.684048,0.141665
0.500488E-01,0.692493,0.760386
0.506592E-01,0.700938,0.693678E-01
0.512695E-01,0.709383,0.173843
0.518799E-01,0.717828,0.190501
0.524902E-01,0.726273,0.138428
0.531006E-01,0.734718,0.107316
0.537109E-01,0.743163,0.215285E-01
0.543213E-01,0.751608,0.321194E-01
0.549316E-01,0.760054,0.574492
0.555420E-01,0.768499,0.128393
0.561523E-01,0.776944,0.300206
0.567627E-01,0.785389,-0.370730E-01
0.573730E-01,0.793834,0.309806
0.579834E-01,0.802279,0.415172
0.585938E-01,0.810724,-0.140600
0.592041E-01,0.819169,-0.953050E-01
0.598145E-01,0.827614,0.305827
0.604248E-01,0.836059,-0.195226
0.610352E-01,0.844504,0.111848
0.616455E-01,0.852949,-0.189571
0.622559E-01,0.861394,-0.275181E-01
0.628662E-01,0.869839,0.160793E-01
0.634766E-01,0.878284,-0.112458
0.640869E-01,0.886729,-0.552498E-01
0.646973E-01,0.895174,-0.141491
0.653076E-01,0.903619,0.525317E-01
0.659180E-01,0.912064,0.771632E-01
0.665283E-01,0.920509,0.325420
0.671387E-01,0.928954,0.381708E-02
0.677490E-01,0.937399,0.105336
0.683594E-01,0.945844,-0.144879E-01
0.689697E-01,0.954289,0.931574E-01
0.695801E-01,0.962734,0.453777E-01
0.701904E-01,0.971179,-0.155989E-01
0.708008E-01,0.979625,0.169845
0.714111E-01,0.988070,0.126387
0.720215E-01,0.996515,0.295892
0.726318E-01,1.00496,-0.389922E-01
0.732422E-01,1.01340,0.573693E-03
0.738525E-01,1.02185,0.199554
0.744629E-01,1.03029,-0.251205E-01
0.750732E-01,1.03874,-0.109251E-01
0.756836E-01,1.04718,0.442529E-01
0.762939E-01,1.05563,-0.908752E-01
0.769043E-01,1.06407,-0.978214E-01
0.775146E-01,1.07252,0.409284
0.781250E-01,1.08096,0.115652
0.787354E-01,1.08941,-0.132389
0.793457E-01,1.09786,-0.107867
0.799561E-01,1.10630,-0.185695E-01
0.805664E-01,1.11475,-0.455183E-01
0.811768E-01,1.12319,-0.940111E-01
0.817871E-01,1.13164,0.190433
0.823975E-01,1.14008,0.754461
0.830078E-01,1.14853,0.446264E-01
0.836182E-01,1.15697,0.311891
0.842285E-01,1.16542,-0.149282
0.848389E-01,1.17386,0.935794
0.854492E-01,1.18231,0.191549
0.860596E-01,1.19075,0.965916
0.866699E-01,1.19920,-0.157269
0.872803E-01,1.20764,0.380726
0.878906E-01,1.21609,0.689518E-01
0.885010E-01,1.22453,1.23761
0.891113E-01,1.23298,0.493430
0.897217E-01,1.24142,0.172191
0.903320E-01,1.24987,0.718611
0.909424E-01,1.25831,0.826387E-01
0.915527E-01,1.26676,0.838301E-01
0.921631E-01,1.27520,-0.248844E-01
0.927734E-01,1.28365,0.114392
0.933838E-01,1.29209,-0.670000E-01
0.939941E-01,1.30054,-0.764335E-01
0.946045E-01,1.30898,0.401948
0.952148E-01,1.31743,0.205779
0.958252E-01,1.32587,0.396644
0.964355E-01,1.33432,0.231206
0.970459E-01,1.34276,0.249124E-01
0.976562E-01,1.35121,0.499973E-01
0.982666E-01,1.35965,0.243998E-01
0.988770E-01,1.36810,0.646776
0.994873E-01,1.37654,-0.465035E-02
0.100098,1.38499,0.114205
0.100708,1.39343,0.337262E-01
0.101318,1.40188,0.233686
0.101929,1.41032,0.126049
0.102539,1.41877,-0.122751E-01
0.103149,1.42721,-0.124733
0.103760,1.43566,-0.223249
0.104370,1.44410,0.574189E-02
0.104980,1.45255,0.880647
0.105591,1.46099,-0.693296E-01
0.106201,1.46944,0.231210
0.106812,1.47788,-0.323881
0.107422,1.48633,-0.148975
0.108032,1.49477,0.122739E-01
0.108643,1.50322,-0.885455E-01
0.109253,1.51166,-0.273510E-01
0.109863,1.52011,0.239235
0.110474,1.52855,-0.118610
0.111084,1.53700,0.258958
0.111694,1.54544,-0.933817E-01
0.112305,1.55389,0.969817
0.112915,1.56233,0.359195E-01
0.113525,1.57078,-0.700400E-01
0.114136,1.57922,-0.291851E-01
0.114746,1.58767,-0.127966
0.115356,1.59611,-0.589779E-01
0.115967,1.60456,0.198432
0.116577,1.61300,0.611929E-02
0.117188,1.62145,0.564783
0.117798,1.62989,0.340942
0.118408,1.63834,-0.498357E-01
0.119019,1.64678,0.104078
0.119629,1.65523,0.231974
0.120239,1.66367,0.443441
0.120850,1.67212,0.343834
0.121460,1.68056,0.197254E-01
0.122070,1.68901,0.335529
0.122681,1.69745,0.707959E-01
0.123291,1.70590,-0.219434
0.123901,1.71434,0.173874E-01
0.124512,1.72279,0.292371
0.125122,1.73123,0.270168
0.125732,1.73968,0.547317E-01
0.126343,1.74812,-0.107216
0.126953,1.75657,-0.741902E-02
0.127563,1.76501,-0.276217
0.128174,1.77346,0.319434
0.128784,1.78190,0.189530
0.129395,1.79035,0.879747E-01
0.130005,1.79879,0.223420
0.130615,1.80724,0.161909
0.131226,1.81568,-0.608319E-02
0.131836,1.82413,0.312765E-02
0.132446,1.83257,0.286447
0.133057,1.84102,0.198120
0.133667,1.84946,-0.930985E-01
0.134277,1.85791,0.366764
0.134888,1.86635,0.122891
0.135498,1.87480,0.154814
