Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.135
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-4.5209745886615727E-006
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.180250E-01,-11.0344
0.122070E-02,0.360500E-01,0.795705
0.183105E-02,0.540750E-01,-2.37877
0.244141E-02,0.721000E-01,1.44920
0.305176E-02,0.901249E-01,-12.6770
0.366211E-02,0.108150,48.6432
0.427246E-02,0.126175,-2.17961
0.488281E-02,0.144200,21.7422
0.549316E-02,0.162225,75.3252
0.610352E-02,0.180250,5.82170
0.671387E-02,0.198275,22.3192
0.732422E-02,0.216300,27.1779
0.793457E-02,0.234325,8.43969
0.854492E-02,0.252350,56.9522
0.915527E-02,0.270375,-17.2631
0.976562E-02,0.288400,13.7604
0.103760E-01,0.306425,32.9052
0.109863E-01,0.324450,-6.85475
0.115967E-01,0.342475,-2.01871
0.122070E-01,0.360500,-6.89511
0.128174E-01,0.378525,-21.3670
0.134277E-01,0.396550,-8.72726
0.140381E-01,0.414575,-26.2856
0.146484E-01,0.432600,25.8437
0.152588E-01,0.450625,-3.80124
0.158691E-01,0.468650,-32.6590
0.164795E-01,0.486675,2.00689
0.170898E-01,0.504700,-0.299750
0.177002E-01,0.522725,0.891818
0.183105E-01,0.540750,15.4364
0.189209E-01,0.558775,-6.58252
0.195312E-01,0.576800,28.1331
0.201416E-01,0.594825,-6.21606
0.207520E-01,0.612850,-2.23327
0.213623E-01,0.630875,-0.219899
0.219727E-01,0.648900,-5.68630
0.225830E-01,0.666925,-2.20194
0.231934E-01,0.684950,26.2802
0.238037E-01,0.702975,-12.7573
0.244141E-01,0.721000,-14.4533
0.250244E-01,0.739025,-1.07678
0.256348E-01,0.757050,-26.2622
0.262451E-01,0.775075,6.84924
0.268555E-01,0.793100,-2.72619
0.274658E-01,0.811125,-2.36049
0.280762E-01,0.829149,-17.7987
0.286865E-01,0.847174,14.7856
0.292969E-01,0.865199,15.2110
0.299072E-01,0.883224,4.15607
0.305176E-01,0.901249,-43.4443
0.311279E-01,0.919274,-20.4338
0.317383E-01,0.937299,-17.1837
0.323486E-01,0.955324,1.03683
0.329590E-01,0.973349,4.50644
0.335693E-01,0.991374,-9.70428
0.341797E-01,1.00940,13.6725
0.347900E-01,1.02742,-17.6606
0.354004E-01,1.04545,-24.6001
0.360107E-01,1.06347,-6.02177
0.366211E-01,1.08150,-10.2157
0.372314E-01,1.09952,-3.09532
0.378418E-01,1.11755,2.76908
0.384521E-01,1.13557,-22.6395
0.390625E-01,1.15360,15.6008
0.396729E-01,1.17162,20.0610
0.402832E-01,1.18965,35.5634
0.408936E-01,1.20767,3.66316
0.415039E-01,1.22570,-12.2998
0.421143E-01,1.24372,-78.0103
0.427246E-01,1.26175,14.8872
0.433350E-01,1.27977,5.35271
0.439453E-01,1.29780,11.4209
0.445557E-01,1.31582,18.7852
0.451660E-01,1.33385,3.44243
0.457764E-01,1.35187,3.41573
0.463867E-01,1.36990,-24.5779
0.469971E-01,1.38792,-2.18779
0.476074E-01,1.40595,32.2477
0.482178E-01,1.42397,23.7567
0.488281E-01,1.44200,1.83856
0.494385E-01,1.46002,-9.58194
0.500488E-01,1.47805,37.6050
0.506592E-01,1.49607,1.39707
0.512695E-01,1.51410,-8.71029
0.518799E-01,1.53212,-2.76258
0.524902E-01,1.55015,-6.88897
0.531006E-01,1.56817,11.9140
0.537109E-01,1.58620,-2.45218
0.543213E-01,1.60422,-6.15732
0.549316E-01,1.62225,-1.14174
0.555420E-01,1.64027,-50.9519
0.561523E-01,1.65830,-35.5213
0.567627E-01,1.67632,-3.33065
0.573730E-01,1.69435,11.8437
0.579834E-01,1.71237,-7.11355
0.585938E-01,1.73040,-4.80970
0.592041E-01,1.74842,-11.5629
0.598145E-01,1.76645,-27.2624
0.604248E-01,1.78447,-9.26192
0.610352E-01,1.80250,-9.44057
0.616455E-01,1.82052,7.98091
0.622559E-01,1.83855,-0.984812
0.628662E-01,1.85657,15.9879
0.634766E-01,1.87460,-47.5516
0.640869E-01,1.89262,-30.0249
0.646973E-01,1.91065,4.64075
0.653076E-01,1.92867,-20.9177
0.659180E-01,1.94670,-0.267787
0.665283E-01,1.96472,18.1601
0.671387E-01,1.98275,16.2798
0.677490E-01,2.00077,10.3895
0.683594E-01,2.01880,33.2568
0.689697E-01,2.03682,-15.8276
0.695801E-01,2.05485,4.74698
0.701904E-01,2.07287,0.363874
0.708008E-01,2.09090,10.4909
0.714111E-01,2.10892,-3.33850
0.720215E-01,2.12695,-3.54801
0.726318E-01,2.14497,-2.74281
0.732422E-01,2.16300,-8.13981
0.738525E-01,2.18102,-12.0782
0.744629E-01,2.19905,-10.5711
0.750732E-01,2.21707,-13.4733
0.756836E-01,2.23510,-7.16062
0.762939E-01,2.25312,16.5113
0.769043E-01,2.27115,-21.6684
0.775146E-01,2.28917,-28.1494
0.781250E-01,2.30720,-91.4225
0.787354E-01,2.32522,-50.1909
0.793457E-01,2.34325,-36.7169
0.799561E-01,2.36127,-3.27345
0.805664E-01,2.37930,11.5837
0.811768E-01,2.39732,-0.459541
0.817871E-01,2.41535,5.42888
0.823975E-01,2.43337,-58.1881
0.830078E-01,2.45140,-24.9752
0.836182E-01,2.46942,-22.9375
0.842285E-01,2.48745,0.136606
0.848389E-01,2.50547,14.6328
0.854492E-01,2.52350,1.33012
0.860596E-01,2.54152,-2.63967
0.866699E-01,2.55955,0.928134
0.872803E-01,2.57757,-17.7475
0.878906E-01,2.59560,-40.9473
0.885010E-01,2.61362,-3.45157
0.891113E-01,2.63165,9.99296
0.897217E-01,2.64967,-15.2697
0.903320E-01,2.66770,-70.8106
0.909424E-01,2.68572,-16.1930
0.915527E-01,2.70375,-50.4115
0.921631E-01,2.72177,22.5432
0.927734E-01,2.73980,-3.05456
0.933838E-01,2.75782,0.522286
0.939941E-01,2.77585,8.57310
0.946045E-01,2.79387,-2.48776
0.952148E-01,2.81190,24.2987
0.958252E-01,2.82992,4.18855
0.964355E-01,2.84795,-2.82447
0.970459E-01,2.86597,17.1329
0.976562E-01,2.88400,-2.51612
0.982666E-01,2.90202,0.578525
0.988770E-01,2.92005,-0.801333
0.994873E-01,2.93807,-18.3478
0.100098,2.95610,23.4794
0.100708,2.97412,-1.85613
0.101318,2.99215,-47.1282
0.101929,3.01017,-15.3632
0.102539,3.02820,-6.36880
0.103149,3.04622,4.15450
0.103760,3.06425,-7.17058
0.104370,3.08227,-10.8939
0.104980,3.10030,18.8027
0.105591,3.11832,-29.9674
0.106201,3.13635,9.39697
0.106812,3.15437,8.41372
0.107422,3.17240,0.349020
0.108032,3.19042,15.4347
0.108643,3.20845,15.9797
0.109253,3.22647,7.00910
0.109863,3.24450,-21.8235
0.110474,3.26252,2.07859
0.111084,3.28055,-0.379068
0.111694,3.29857,-0.176830
0.112305,3.31660,-6.22774
0.112915,3.33462,-3.36623
0.113525,3.35265,-1.20405
0.114136,3.37067,-1.34460
0.114746,3.38870,6.59025
0.115356,3.40672,5.66554
0.115967,3.42475,15.0434
0.116577,3.44277,0.955186E-01
0.117188,3.46080,1.13413
0.117798,3.47882,-12.2287
0.118408,3.49685,-4.56145
0.119019,3.51487,9.07501
0.119629,3.53290,-8.30721
0.120239,3.55092,-18.0773
0.120850,3.56895,-10.4444
0.121460,3.58697,33.2747
0.122070,3.60500,-0.689085
0.122681,3.62302,-0.393532
0.123291,3.64105,-6.02752
0.123901,3.65907,4.21490
0.124512,3.67710,0.849053
0.125122,3.69512,6.47634
0.125732,3.71315,-13.6809
0.126343,3.73117,-25.7996
0.126953,3.74920,10.8182
0.127563,3.76722,5.78338
0.128174,3.78525,5.37470
0.128784,3.80327,-10.7323
0.129395,3.82130,13.0153
0.130005,3.83932,-6.27514
0.130615,3.85735,-0.605349
0.131226,3.87537,-1.33887
0.131836,3.89340,-1.49466
0.132446,3.91142,13.4374
0.133057,3.92945,8.44276
0.133667,3.94747,-2.36727
0.134277,3.96550,-26.0477
0.134888,3.98352,-0.972636
0.135498,4.00155,-17.2986
0.136108,4.01957,7.18883
0.136719,4.03760,21.0732
0.137329,4.05562,-2.82366
0.137939,4.07365,-9.63343
0.138550,4.09167,4.53776
0.139160,4.10970,8.15403
0.139771,4.12772,2.49314
0.140381,4.14575,-6.61608
0.140991,4.16377,-7.23408
0.141602,4.18180,2.15803
0.142212,4.19982,4.87590
0.142822,4.21785,-30.0128
0.143433,4.23587,-3.50895
0.144043,4.25390,-15.4657
0.144653,4.27192,-9.47457
0.145264,4.28995,-14.3648
0.145874,4.30797,-42.2959
0.146484,4.32600,-3.93353
0.147095,4.34402,2.15251
0.147705,4.36205,-20.1935
0.148315,4.38007,-0.494559
0.148926,4.39810,-25.8735
0.149536,4.41612,-9.05779
0.150146,4.43415,44.1670
0.150757,4.45217,14.7474
0.151367,4.47020,19.0397
0.151978,4.48822,-8.10665
0.152588,4.50625,-18.1468
0.153198,4.52427,-43.5392
0.153809,4.54230,18.3592
0.154419,4.56032,18.5695
0.155029,4.57835,5.38639
0.155640,4.59637,-13.2375
0.156250,4.61440,15.6154
0.156860,4.63242,-0.519827E-02
0.157471,4.65045,-3.49401
0.158081,4.66847,-8.13720
0.158691,4.68650,-31.1360
0.159302,4.70452,-14.9590
0.159912,4.72255,-7.59345
0.160522,4.74057,-43.8913
0.161133,4.75860,3.72595
0.161743,4.77662,3.45808
0.162354,4.79465,-2.94733
0.162964,4.81267,-16.7240
0.163574,4.83070,-1.21538
0.164185,4.84872,-18.2243
0.164795,4.86675,-5.07561
0.165405,4.88477,-13.3386
0.166016,4.90280,3.90486
0.166626,4.92082,12.8566
0.167236,4.93885,6.52849
0.167847,4.95687,-3.22782
0.168457,4.97490,-7.46645
0.169067,4.99292,1.79107
0.169678,5.01095,-58.5556
0.170288,5.02897,-60.8139
0.170898,5.04700,-41.4532
0.171509,5.06502,-0.996292
0.172119,5.08305,-3.51852
0.172729,5.10107,0.218497
0.173340,5.11910,1.29134
0.173950,5.13712,-10.4860
0.174561,5.15515,3.77921
0.175171,5.17317,3.16639
0.175781,5.19120,1.77192
0.176392,5.20922,-6.33403
0.177002,5.22725,-33.8021
0.177612,5.24527,10.9873
0.178223,5.26330,19.6215
0.178833,5.28132,3.46445
0.179443,5.29935,-11.0020
0.180054,5.31737,5.20195
0.180664,5.33540,-8.18434
0.181274,5.35342,-3.68886
0.181885,5.37145,-0.275553
0.182495,5.38947,3.98139
0.183105,5.40750,-54.5713
0.183716,5.42552,-20.3897
0.184326,5.44355,16.3475
0.184937,5.46157,-6.78241
0.185547,5.47960,-6.41457
0.186157,5.49762,-28.7136
0.186768,5.51565,-1.48555
0.187378,5.53367,-38.9857
0.187988,5.55170,-13.4984
0.188599,5.56972,-7.79106
0.189209,5.58775,-4.73343
0.189819,5.60577,-0.374955
0.190430,5.62380,3.23042
0.191040,5.64182,-19.1734
0.191650,5.65985,-23.2605
0.192261,5.67787,1.04735
0.192871,5.69590,-1.88920
0.193481,5.71392,1.08205
0.194092,5.73195,4.78271
0.194702,5.74997,8.27376
0.195312,5.76800,-5.54351
0.195923,5.78602,3.24896
0.196533,5.80405,-8.14191
0.197144,5.82207,-8.12359
0.197754,5.84010,-15.8763
0.198364,5.85812,6.62543
0.198975,5.87615,-3.33644
0.199585,5.89417,-14.1063
0.200195,5.91220,-32.7494
0.200806,5.93022,-14.3766
0.201416,5.94825,-21.1831
0.202026,5.96627,10.3259
0.202637,5.98430,7.08712
0.203247,6.00232,7.28225
0.203857,6.02035,1.41171
0.204468,6.03837,-2.93016
0.205078,6.05640,1.64120
0.205688,6.07442,9.55887
0.206299,6.09245,4.83532
0.206909,6.11047,-30.0869
0.207520,6.12850,-55.6482
0.208130,6.14652,-11.3286
0.208740,6.16455,-7.15263
0.209351,6.18257,-3.55955
0.209961,6.20060,7.37439
0.210571,6.21862,-8.72860
0.211182,6.23665,1.20235
0.211792,6.25467,-25.5185
0.212402,6.27270,-4.28481
0.213013,6.29072,-4.08378
0.213623,6.30875,-1.91627
0.214233,6.32677,-7.62782
0.214844,6.34480,-0.256241
0.215454,6.36282,-18.0332
0.216064,6.38085,-18.1993
0.216675,6.39887,-3.79323
0.217285,6.41690,-42.5498
0.217896,6.43492,18.0327
0.218506,6.45295,-42.8493
0.219116,6.47097,0.608723
0.219727,6.48900,3.06582
0.220337,6.50702,-1.58703
0.220947,6.52505,-10.0949
0.221558,6.54307,-9.53731
0.222168,6.56110,-5.87766
0.222778,6.57912,-13.0881
0.223389,6.59715,0.858622
0.223999,6.61517,-1.99802
0.224609,6.63320,-13.8891
0.225220,6.65122,-0.445860
0.225830,6.66925,9.04501
0.226440,6.68727,-0.323713
0.227051,6.70530,2.67426
0.227661,6.72332,5.31712
0.228271,6.74135,-6.56750
0.228882,6.75937,-9.18873
0.229492,6.77740,-3.46741
0.230103,6.79542,21.5225
0.230713,6.81345,-5.09525
0.231323,6.83147,-15.9058
0.231934,6.84950,2.93595
0.232544,6.86752,1.87784
0.233154,6.88555,0.102537
0.233765,6.90357,4.47022
0.234375,6.92160,17.1505
0.234985,6.93962,-4.93194
0.235596,6.95765,-19.1766
0.236206,6.97567,6.71440
0.236816,6.99370,-4.83710
0.237427,7.01172,-0.557243E-01
0.238037,7.02975,14.1109
0.238647,7.04777,4.34227
0.239258,7.06580,6.71728
0.239868,7.08382,9.12435
0.240479,7.10185,-1.58512
0.241089,7.11987,13.3344
0.241699,7.13790,-7.51398
0.242310,7.15592,-6.60331
0.242920,7.17395,-12.9325
0.243530,7.19197,5.34231
0.244141,7.21000,-0.531718
0.244751,7.22802,-10.2325
0.245361,7.24605,-0.433361
0.245972,7.26407,-15.2714
0.246582,7.28210,-3.81616
0.247192,7.30012,-11.6724
0.247803,7.31815,-5.58162
0.248413,7.33617,11.5034
0.249023,7.35420,-4.16523
0.249634,7.37222,-2.39678
0.250244,7.39025,-4.73027
0.250854,7.40827,-33.2650
0.251465,7.42630,-1.69042
0.252075,7.44432,-1.48382
0.252686,7.46235,20.1023
0.253296,7.48037,-3.64419
0.253906,7.49840,-7.73377
0.254517,7.51642,-17.3390
0.255127,7.53445,-1.05982
0.255737,7.55247,-13.7974
0.256348,7.57050,17.7759
0.256958,7.58852,-9.21055
0.257568,7.60655,5.00127
0.258179,7.62457,5.71084
0.258789,7.64260,24.5168
0.259399,7.66062,15.7237
0.260010,7.67865,-33.6742
0.260620,7.69667,-21.4465
0.261230,7.71470,-14.9684
0.261841,7.73272,31.0212
0.262451,7.75075,-6.44091
0.263062,7.76877,-52.8202
0.263672,7.78680,-15.7737
0.264282,7.80482,-7.10205
0.264893,7.82285,14.9907
0.265503,7.84087,-9.34089
0.266113,7.85890,0.277416
0.266724,7.87692,0.241885E-01
0.267334,7.89495,5.37230
0.267944,7.91297,0.883592
0.268555,7.93100,-5.03341
0.269165,7.94902,3.16867
0.269775,7.96705,1.63334
0.270386,7.98507,19.4582
0.270996,8.00310,-8.20218
0.271606,8.02112,13.8800
0.272217,8.03915,-2.00344
0.272827,8.05717,14.1232
0.273438,8.07520,-41.3430
0.274048,8.09322,4.11399
0.274658,8.11125,-1.11889
0.275269,8.12927,-1.09947
0.275879,8.14730,-16.0311
0.276489,8.16532,-9.18080
0.277100,8.18335,0.846446
0.277710,8.20137,-0.837678E-01
0.278320,8.21940,-2.68287
0.278931,8.23742,-6.92382
0.279541,8.25545,0.668370
0.280151,8.27347,-2.75197
0.280762,8.29149,1.59634
0.281372,8.30952,5.80643
0.281982,8.32754,-9.52425
0.282593,8.34557,-3.75869
0.283203,8.36359,0.818936
0.283813,8.38162,9.73958
0.284424,8.39964,-1.65518
0.285034,8.41767,-4.65416
0.285645,8.43569,6.68324
0.286255,8.45372,-47.8163
0.286865,8.47174,-20.4342
0.287476,8.48977,-12.0561
0.288086,8.50779,2.28251
0.288696,8.52582,-0.902941
0.289307,8.54384,-30.7846
0.289917,8.56187,-4.97598
0.290527,8.57989,-17.3517
0.291138,8.59792,-11.9519
0.291748,8.61594,-0.177332
0.292358,8.63397,7.85530
0.292969,8.65199,5.75142
0.293579,8.67002,4.63040
0.294189,8.68804,-2.56479
