Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.746
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,8.5479910334190171E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.326563E-02,-0.333569
0.122070E-02,0.653125E-02,-0.892442E-01
0.183105E-02,0.979688E-02,0.949037E-01
0.244141E-02,0.130625E-01,0.337787
0.305176E-02,0.163281E-01,0.111319
0.366211E-02,0.195938E-01,-0.369575E-01
0.427246E-02,0.228594E-01,-0.906990E-01
0.488281E-02,0.261250E-01,0.461186
0.549316E-02,0.293906E-01,0.789338E-01
0.610352E-02,0.326563E-01,-0.566714E-01
0.671387E-02,0.359219E-01,0.154108
0.732422E-02,0.391875E-01,0.431211
0.793457E-02,0.424531E-01,-0.492092
0.854492E-02,0.457188E-01,1.15779
0.915527E-02,0.489844E-01,0.381336E-01
0.976562E-02,0.522500E-01,0.425761
0.103760E-01,0.555156E-01,0.707508
0.109863E-01,0.587813E-01,0.177400
0.115967E-01,0.620469E-01,0.688146
0.122070E-01,0.653125E-01,0.275284
0.128174E-01,0.685781E-01,0.249305E-01
0.134277E-01,0.718438E-01,-0.106039
0.140381E-01,0.751094E-01,0.250767
0.146484E-01,0.783750E-01,0.960507
0.152588E-01,0.816406E-01,0.213956
0.158691E-01,0.849063E-01,0.971615E-01
0.164795E-01,0.881719E-01,0.354394
0.170898E-01,0.914375E-01,0.219584
0.177002E-01,0.947031E-01,0.858029E-01
0.183105E-01,0.979688E-01,1.98165
0.189209E-01,0.101234,0.510815
0.195312E-01,0.104500,0.434356
0.201416E-01,0.107766,0.212688E-01
0.207520E-01,0.111031,0.313097
0.213623E-01,0.114297,0.447055
0.219727E-01,0.117563,-0.324012E-01
0.225830E-01,0.120828,-0.967279E-01
0.231934E-01,0.124094,0.602077
0.238037E-01,0.127359,0.566793E-01
0.244141E-01,0.130625,0.711527
0.250244E-01,0.133891,0.908937E-02
0.256348E-01,0.137156,-0.128712
0.262451E-01,0.140422,0.575046
0.268555E-01,0.143688,0.465965
0.274658E-01,0.146953,0.213688
0.280762E-01,0.150219,0.174203
0.286865E-01,0.153484,0.900414E-01
0.292969E-01,0.156750,2.43019
0.299072E-01,0.160016,1.00254
0.305176E-01,0.163281,0.192790
0.311279E-01,0.166547,0.782171
0.317383E-01,0.169813,-0.109639
0.323486E-01,0.173078,0.187143
0.329590E-01,0.176344,0.496222E-01
0.335693E-01,0.179609,-0.607301
0.341797E-01,0.182875,0.331756
0.347900E-01,0.186141,0.619254
0.354004E-01,0.189406,0.103605
0.360107E-01,0.192672,0.601560E-01
0.366211E-01,0.195938,0.576711
0.372314E-01,0.199203,0.338112
0.378418E-01,0.202469,0.573631
0.384521E-01,0.205734,0.123558
0.390625E-01,0.209000,0.220502
0.396729E-01,0.212266,0.228511
0.402832E-01,0.215531,0.177619E-02
0.408936E-01,0.218797,-0.926430E-01
0.415039E-01,0.222063,0.309050
0.421143E-01,0.225328,1.01003
0.427246E-01,0.228594,-0.173427
0.433350E-01,0.231859,0.941530
0.439453E-01,0.235125,0.619804E-01
0.445557E-01,0.238391,0.390246
0.451660E-01,0.241656,-0.105600
0.457764E-01,0.244922,0.339530
0.463867E-01,0.248188,0.225741
0.469971E-01,0.251453,2.01785
0.476074E-01,0.254719,0.622305E-01
0.482178E-01,0.257984,-0.177795
0.488281E-01,0.261250,0.234454
0.494385E-01,0.264516,0.725035
0.500488E-01,0.267781,0.711058
0.506592E-01,0.271047,0.691449
0.512695E-01,0.274313,0.265929E-01
0.518799E-01,0.277578,0.322889
0.524902E-01,0.280844,0.252817E-01
0.531006E-01,0.284109,0.390890
0.537109E-01,0.287375,0.388533
0.543213E-01,0.290641,-0.202198
0.549316E-01,0.293906,0.323069
0.555420E-01,0.297172,-0.103748
0.561523E-01,0.300438,-0.143608
0.567627E-01,0.303703,-0.200523
0.573730E-01,0.306969,1.08623
0.579834E-01,0.310234,0.229656
0.585938E-01,0.313500,0.173088
0.592041E-01,0.316766,0.667806
0.598145E-01,0.320031,-0.198234
0.604248E-01,0.323297,0.972126
0.610352E-01,0.326563,-0.444091E-01
0.616455E-01,0.329828,-0.873395E-02
0.622559E-01,0.333094,0.175418
0.628662E-01,0.336359,-0.559365E-01
0.634766E-01,0.339625,0.384292E-02
0.640869E-01,0.342891,0.234280
0.646973E-01,0.346156,0.385176
0.653076E-01,0.349422,0.553072
0.659180E-01,0.352688,0.725438
0.665283E-01,0.355953,-0.232386E-01
0.671387E-01,0.359219,0.183730
0.677490E-01,0.362484,-0.229492
0.683594E-01,0.365750,0.204519
0.689697E-01,0.369016,0.286398
0.695801E-01,0.372281,0.628108E-01
0.701904E-01,0.375547,0.601566E-01
0.708008E-01,0.378813,0.267383E-01
0.714111E-01,0.382078,-0.359205
0.720215E-01,0.385344,-0.316002
0.726318E-01,0.388609,0.469578
0.732422E-01,0.391875,0.790894
0.738525E-01,0.395141,0.747354
0.744629E-01,0.398406,0.686780
0.750732E-01,0.401672,0.309145
0.756836E-01,0.404938,0.247566
0.762939E-01,0.408203,0.323466
0.769043E-01,0.411469,0.100254
0.775146E-01,0.414734,0.523337
0.781250E-01,0.418000,0.143432
