Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  1.342
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,1.9544283118632117E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.181531E-02,0.617914E-01
0.122070E-02,0.363063E-02,0.339787E-01
0.183105E-02,0.544594E-02,-0.788883E-02
0.244141E-02,0.726125E-02,0.551911E-01
0.305176E-02,0.907657E-02,0.125521
0.366211E-02,0.108919E-01,0.713597E-01
0.427246E-02,0.127072E-01,0.476556E-02
0.488281E-02,0.145225E-01,0.123887
0.549316E-02,0.163378E-01,-0.613638E-01
0.610352E-02,0.181531E-01,-0.781410E-01
0.671387E-02,0.199685E-01,0.156338E-01
0.732422E-02,0.217838E-01,0.502698E-01
0.793457E-02,0.235991E-01,-0.117159
0.854492E-02,0.254144E-01,0.182499
0.915527E-02,0.272297E-01,0.304046E-01
0.976562E-02,0.290450E-01,0.176877
0.103760E-01,0.308603E-01,-0.791186E-01
0.109863E-01,0.326756E-01,0.255943E-02
0.115967E-01,0.344910E-01,0.262787E-01
0.122070E-01,0.363063E-01,0.296806
0.128174E-01,0.381216E-01,0.219169
0.134277E-01,0.399369E-01,0.210358
0.140381E-01,0.417522E-01,0.647455
0.146484E-01,0.435675E-01,0.291763
0.152588E-01,0.453828E-01,1.11653
0.158691E-01,0.471982E-01,0.348987
0.164795E-01,0.490135E-01,0.729046
0.170898E-01,0.508288E-01,-0.143972E-01
0.177002E-01,0.526441E-01,1.22008
0.183105E-01,0.544594E-01,0.147653
0.189209E-01,0.562747E-01,-0.364789E-01
0.195312E-01,0.580900E-01,0.103905
0.201416E-01,0.599054E-01,0.169577
0.207520E-01,0.617207E-01,0.220174E-01
0.213623E-01,0.635360E-01,0.383709
0.219727E-01,0.653513E-01,0.411410
0.225830E-01,0.671666E-01,1.30826
0.231934E-01,0.689819E-01,0.189564
0.238037E-01,0.707972E-01,0.153648
0.244141E-01,0.726125E-01,0.577238
0.250244E-01,0.744279E-01,0.263630
0.256348E-01,0.762432E-01,0.195367
0.262451E-01,0.780585E-01,0.278687
0.268555E-01,0.798738E-01,0.173075
0.274658E-01,0.816891E-01,-0.547431E-01
0.280762E-01,0.835044E-01,-0.472524E-01
0.286865E-01,0.853197E-01,0.235691
0.292969E-01,0.871351E-01,0.144428
0.299072E-01,0.889504E-01,0.348409
0.305176E-01,0.907657E-01,-0.515564E-01
0.311279E-01,0.925810E-01,0.706577E-01
0.317383E-01,0.943963E-01,1.18755
0.323486E-01,0.962116E-01,0.495788E-01
0.329590E-01,0.980269E-01,-0.348197
0.335693E-01,0.998423E-01,0.142026E-01
0.341797E-01,0.101658,0.388679
0.347900E-01,0.103473,0.373717
0.354004E-01,0.105288,0.180369
0.360107E-01,0.107104,-0.178414
0.366211E-01,0.108919,0.153594
0.372314E-01,0.110734,0.138006E-01
0.378418E-01,0.112549,0.265275
0.384521E-01,0.114365,0.489801
0.390625E-01,0.116180,0.427011
0.396729E-01,0.117995,0.106211E-01
0.402832E-01,0.119811,0.316468
0.408936E-01,0.121626,0.706200
0.415039E-01,0.123441,0.319926E-02
0.421143E-01,0.125257,0.123555
0.427246E-01,0.127072,0.245556
0.433350E-01,0.128887,0.636638E-01
0.439453E-01,0.130703,0.143235
0.445557E-01,0.132518,0.802496
0.451660E-01,0.134333,0.592658E-01
0.457764E-01,0.136149,0.157330
0.463867E-01,0.137964,-0.161613E-01
0.469971E-01,0.139779,0.243615E-01
