Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.474
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,1.5022719313673974E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.513757E-02,-0.586949
0.122070E-02,0.102751E-01,-0.882542E-01
0.183105E-02,0.154127E-01,-0.848850E-01
0.244141E-02,0.205503E-01,0.183567
0.305176E-02,0.256878E-01,-0.601953E-04
0.366211E-02,0.308254E-01,-0.517430
0.427246E-02,0.359630E-01,-0.209041
0.488281E-02,0.411005E-01,0.817711E-01
0.549316E-02,0.462381E-01,0.892949E-01
0.610352E-02,0.513757E-01,0.134430E-01
0.671387E-02,0.565132E-01,0.495722
0.732422E-02,0.616508E-01,-0.552476
0.793457E-02,0.667883E-01,0.855691
0.854492E-02,0.719259E-01,1.05184
0.915527E-02,0.770635E-01,-0.447374
0.976562E-02,0.822010E-01,0.792089
0.103760E-01,0.873386E-01,-0.827396
0.109863E-01,0.924762E-01,0.615187
0.115967E-01,0.976137E-01,-0.815442
0.122070E-01,0.102751,-1.53654
0.128174E-01,0.107889,0.843997E-01
0.134277E-01,0.113026,-0.432129
0.140381E-01,0.118164,0.259963
0.146484E-01,0.123302,-0.116058
0.152588E-01,0.128439,-0.730533
0.158691E-01,0.133577,1.51632
0.164795E-01,0.138714,-0.635188
0.170898E-01,0.143852,0.130454
0.177002E-01,0.148989,0.245654
0.183105E-01,0.154127,0.502926E-01
0.189209E-01,0.159265,0.144988
0.195312E-01,0.164402,0.769423E-01
0.201416E-01,0.169540,-0.857700
0.207520E-01,0.174677,0.307553
0.213623E-01,0.179815,0.521023
0.219727E-01,0.184952,1.35314
0.225830E-01,0.190090,1.50360
0.231934E-01,0.195227,-0.691882
0.238037E-01,0.200365,0.421817
0.244141E-01,0.205503,0.173110
0.250244E-01,0.210640,0.277910E-01
0.256348E-01,0.215778,-0.117971
0.262451E-01,0.220915,0.733869
0.268555E-01,0.226053,0.764021
0.274658E-01,0.231190,0.285267
0.280762E-01,0.236328,0.156260
0.286865E-01,0.241466,0.953816
0.292969E-01,0.246603,-1.46321
0.299072E-01,0.251741,-0.627846E-01
0.305176E-01,0.256878,0.435875
0.311279E-01,0.262016,0.331786
0.317383E-01,0.267153,1.18570
0.323486E-01,0.272291,0.330648E-01
0.329590E-01,0.277429,0.645115
0.335693E-01,0.282566,0.751883
0.341797E-01,0.287704,0.207519
0.347900E-01,0.292841,0.362569
0.354004E-01,0.297979,-0.122133
0.360107E-01,0.303116,-0.333776
0.366211E-01,0.308254,0.880471
0.372314E-01,0.313391,0.955578
0.378418E-01,0.318529,-0.107531
0.384521E-01,0.323667,0.992747E-01
0.390625E-01,0.328804,0.231669
0.396729E-01,0.333942,-0.649927E-01
0.402832E-01,0.339079,-0.387584
0.408936E-01,0.344217,0.280148
