Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.368
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,1.9871472416145503E-003
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.662236E-02,-0.933242E-01
0.122070E-02,0.132447E-01,-0.127054
0.183105E-02,0.198671E-01,-0.140280
0.244141E-02,0.264894E-01,-0.733805
0.305176E-02,0.331118E-01,0.458978
0.366211E-02,0.397342E-01,-0.323424
0.427246E-02,0.463565E-01,0.576365
0.488281E-02,0.529789E-01,-0.696242
0.549316E-02,0.596012E-01,-1.08715
0.610352E-02,0.662236E-01,-1.93738
0.671387E-02,0.728460E-01,0.227008E-01
0.732422E-02,0.794683E-01,-0.647423
0.793457E-02,0.860907E-01,-0.322016E-01
0.854492E-02,0.927130E-01,2.09745
0.915527E-02,0.993354E-01,-1.00335
0.976562E-02,0.105958,0.170096
0.103760E-01,0.112580,0.934506E-01
0.109863E-01,0.119202,-0.739116
0.115967E-01,0.125825,-0.208469
0.122070E-01,0.132447,-0.688398E-01
0.128174E-01,0.139070,0.925657
0.134277E-01,0.145692,0.906440
0.140381E-01,0.152314,-0.223672
0.146484E-01,0.158937,0.180073
0.152588E-01,0.165559,0.167912
0.158691E-01,0.172181,-0.282945
0.164795E-01,0.178804,2.26658
0.170898E-01,0.185426,0.656239
0.177002E-01,0.192048,-0.271081
0.183105E-01,0.198671,0.692350
0.189209E-01,0.205293,0.618685
0.195312E-01,0.211916,-1.04731
0.201416E-01,0.218538,-1.08265
0.207520E-01,0.225160,0.718677E-01
0.213623E-01,0.231783,-2.12986
0.219727E-01,0.238405,0.398836E-01
0.225830E-01,0.245027,0.115724
0.231934E-01,0.251650,0.632680
0.238037E-01,0.258272,0.423313
0.244141E-01,0.264894,1.05687
0.250244E-01,0.271517,0.685323
0.256348E-01,0.278139,0.191973
0.262451E-01,0.284761,0.951076E-01
0.268555E-01,0.291384,0.742470
0.274658E-01,0.298006,0.809132
0.280762E-01,0.304629,-0.162524
0.286865E-01,0.311251,0.324013
0.292969E-01,0.317873,0.281716E-01
0.299072E-01,0.324496,-0.271712
