Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.214
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,7.8748068199511792E-005
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.113974E-01,1.00263
0.122070E-02,0.227947E-01,1.62899
0.183105E-02,0.341921E-01,-2.00478
0.244141E-02,0.455895E-01,-2.08662
0.305176E-02,0.569869E-01,3.99448
0.366211E-02,0.683842E-01,1.38372
0.427246E-02,0.797816E-01,0.656757E-01
0.488281E-02,0.911790E-01,-2.63145
0.549316E-02,0.102576,-7.50896
0.610352E-02,0.113974,-3.46066
0.671387E-02,0.125371,1.87278
0.732422E-02,0.136768,-2.93582
0.793457E-02,0.148166,0.608403
0.854492E-02,0.159563,-2.34790
0.915527E-02,0.170961,-5.89465
0.976562E-02,0.182358,-0.414123
0.103760E-01,0.193755,0.358659
0.109863E-01,0.205153,-1.80308
0.115967E-01,0.216550,-0.846831E-01
0.122070E-01,0.227947,0.100379
0.128174E-01,0.239345,3.48812
0.134277E-01,0.250742,-1.53328
0.140381E-01,0.262140,0.402375
0.146484E-01,0.273537,-4.53459
0.152588E-01,0.284934,-0.461822
0.158691E-01,0.296332,0.371959
0.164795E-01,0.307729,0.839510E-01
0.170898E-01,0.319126,2.56251
0.177002E-01,0.330524,6.28219
0.183105E-01,0.341921,3.55852
0.189209E-01,0.353318,-1.38661
0.195312E-01,0.364716,-0.963966
0.201416E-01,0.376113,4.45249
0.207520E-01,0.387511,-2.01807
0.213623E-01,0.398908,0.306051
0.219727E-01,0.410305,1.60596
0.225830E-01,0.421703,0.659620
0.231934E-01,0.433100,-1.03010
0.238037E-01,0.444497,0.791436
0.244141E-01,0.455895,1.53674
0.250244E-01,0.467292,-1.44274
0.256348E-01,0.478690,1.66469
0.262451E-01,0.490087,3.91527
0.268555E-01,0.501484,0.919949
0.274658E-01,0.512882,1.14608
0.280762E-01,0.524279,-0.960371
0.286865E-01,0.535676,-1.16209
0.292969E-01,0.547074,-0.508835E-01
0.299072E-01,0.558471,0.804606
0.305176E-01,0.569869,-0.181611E-01
0.311279E-01,0.581266,0.348783
0.317383E-01,0.592663,-0.889838
0.323486E-01,0.604061,3.23669
0.329590E-01,0.615458,1.52524
0.335693E-01,0.626855,0.634871
0.341797E-01,0.638253,-2.83930
0.347900E-01,0.649650,7.46971
0.354004E-01,0.661048,1.56669
0.360107E-01,0.672445,1.99825
0.366211E-01,0.683842,1.05695
0.372314E-01,0.695240,0.241615
0.378418E-01,0.706637,0.699912E-01
0.384521E-01,0.718034,-1.53659
0.390625E-01,0.729432,1.50506
0.396729E-01,0.740829,0.106568
