Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.059
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-5.4017537286122903E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.411138E-01,0.680754
0.122070E-02,0.822276E-01,1.19502
0.183105E-02,0.123341,0.144384E-01
0.244141E-02,0.164455,0.814458E-01
0.305176E-02,0.205569,0.260671
0.366211E-02,0.246683,-0.427037E-01
0.427246E-02,0.287797,0.126424
0.488281E-02,0.328910,0.706518E-01
0.549316E-02,0.370024,-0.110029
0.610352E-02,0.411138,-0.173470
0.671387E-02,0.452252,0.262934E-01
0.732422E-02,0.493366,0.195864
0.793457E-02,0.534479,-0.324164E-01
0.854492E-02,0.575593,-0.437687E-01
0.915527E-02,0.616707,-0.281581E-01
0.976562E-02,0.657821,-0.919850E-01
0.103760E-01,0.698935,0.111674
0.109863E-01,0.740048,0.382438
0.115967E-01,0.781162,-0.293185
0.122070E-01,0.822276,-0.136907E-01
0.128174E-01,0.863390,0.288558
0.134277E-01,0.904504,0.239570E-01
0.140381E-01,0.945617,-0.656566E-01
0.146484E-01,0.986731,0.128914E-01
0.152588E-01,1.02784,0.102117E-01
0.158691E-01,1.06896,0.104446E-01
0.164795E-01,1.11007,0.246562E-03
0.170898E-01,1.15119,-0.158683
0.177002E-01,1.19230,-0.105278
0.183105E-01,1.23341,0.322951
0.189209E-01,1.27453,-0.852081E-01
0.195312E-01,1.31564,-0.141695
0.201416E-01,1.35676,-0.382050
0.207520E-01,1.39787,-0.166177E-01
0.213623E-01,1.43898,-0.350626
0.219727E-01,1.48010,0.364229E-01
0.225830E-01,1.52121,0.967668E-01
0.231934E-01,1.56232,0.150120E-01
0.238037E-01,1.60344,-0.171516
0.244141E-01,1.64455,0.852846E-03
0.250244E-01,1.68567,-0.387387E-01
0.256348E-01,1.72678,-0.185892E-01
0.262451E-01,1.76789,-0.226136
0.268555E-01,1.80901,-0.725200E-01
0.274658E-01,1.85012,-0.210052
0.280762E-01,1.89123,-0.257280
0.286865E-01,1.93235,-0.879966
0.292969E-01,1.97346,-0.141841
0.299072E-01,2.01458,-0.108202
0.305176E-01,2.05569,-0.367152
0.311279E-01,2.09680,0.600826E-01
0.317383E-01,2.13792,0.136072
0.323486E-01,2.17903,0.785262E-01
0.329590E-01,2.22015,-0.790538E-01
0.335693E-01,2.26126,0.373355
0.341797E-01,2.30237,-0.113089
0.347900E-01,2.34349,-0.278695
0.354004E-01,2.38460,-0.129728
0.360107E-01,2.42571,-0.150741
0.366211E-01,2.46683,-0.957999
0.372314E-01,2.50794,-0.880937
0.378418E-01,2.54906,-0.440576
0.384521E-01,2.59017,-0.233527
0.390625E-01,2.63128,-0.607621E-01
0.396729E-01,2.67240,0.145279
0.402832E-01,2.71351,-0.733695E-01
0.408936E-01,2.75462,-0.178798
0.415039E-01,2.79574,0.432082
0.421143E-01,2.83685,-0.133612
0.427246E-01,2.87797,-0.264559
0.433350E-01,2.91908,-0.598660E-01
0.439453E-01,2.96019,-0.132225
0.445557E-01,3.00131,0.315317E-01
0.451660E-01,3.04242,-0.631796E-01
0.457764E-01,3.08353,-0.136709
0.463867E-01,3.12465,0.156999
0.469971E-01,3.16576,-0.446619
0.476074E-01,3.20688,-0.391515E-02
0.482178E-01,3.24799,-0.940482E-01
0.488281E-01,3.28910,-0.218144E-01
0.494385E-01,3.33022,-0.266502
0.500488E-01,3.37133,-0.100656
0.506592E-01,3.41245,-0.117370
0.512695E-01,3.45356,0.160680E-01
0.518799E-01,3.49467,0.384257
0.524902E-01,3.53579,-0.434875
0.531006E-01,3.57690,-0.525599
0.537109E-01,3.61801,0.472883E-02
0.543213E-01,3.65913,-0.160864E-01
0.549316E-01,3.70024,-0.292779E-01
0.555420E-01,3.74136,0.376724
0.561523E-01,3.78247,0.198668
