Full_(co)spectra
----------------
natural_frequency_[Hz]_->_from_[1/_averaging_interval]_to_[acquisition_frequency_/_2]
normalized_frequency_[#]->_natural_frequency_*_measuring_height_/_wind_speed
y-axis_->_natural_frequency_*_(co)spectrum_/_(co)variance
acquisition_frequency_[Hz]_=_ 10.000
measuring_height_(z-d)_[m]_=_  3.990
wind_speed_[m+1s-1]_=_  0.045
averaging_interval_[min]_=_     30
tapering_window_=_SQUARED_(no_tapering_forced_by_EddyPro._Tapering_is_only_applied_for_binned_(co)spectra)
,,cov(w_ts)
,,-1.6839207617332390E-004
natural_frequency,normalized_frequency,f_nat*cospec(w_ts)
0.610352E-03,0.542382E-01,0.295930
0.122070E-02,0.108476,0.103300
0.183105E-02,0.162715,-0.815199
0.244141E-02,0.216953,1.43912
0.305176E-02,0.271191,0.917619
0.366211E-02,0.325429,0.780640E-01
0.427246E-02,0.379667,-0.557397
0.488281E-02,0.433905,0.590668
0.549316E-02,0.488144,0.240706
0.610352E-02,0.542382,-0.150848
0.671387E-02,0.596620,0.698186
0.732422E-02,0.650858,2.60658
0.793457E-02,0.705096,0.274242
0.854492E-02,0.759335,-0.182611
0.915527E-02,0.813573,1.43445
0.976562E-02,0.867811,0.995494
0.103760E-01,0.922049,-0.140057
0.109863E-01,0.976287,-0.423691
0.115967E-01,1.03053,0.535681
0.122070E-01,1.08476,0.460347
0.128174E-01,1.13900,-0.372089
0.134277E-01,1.19324,1.54305
0.140381E-01,1.24748,-0.586612E-01
0.146484E-01,1.30172,0.607060
0.152588E-01,1.35595,-0.281100
0.158691E-01,1.41019,0.366012
0.164795E-01,1.46443,0.497563
0.170898E-01,1.51867,0.380992
0.177002E-01,1.57291,0.347757
0.183105E-01,1.62715,0.707479
0.189209E-01,1.68138,-2.49859
0.195312E-01,1.73562,-0.768629
0.201416E-01,1.78986,0.447672
0.207520E-01,1.84410,-0.996459E-01
0.213623E-01,1.89834,0.276191
0.219727E-01,1.95257,1.80396
0.225830E-01,2.00681,0.110444
0.231934E-01,2.06105,0.342095
0.238037E-01,2.11529,0.403302
0.244141E-01,2.16953,0.416465E-01
0.250244E-01,2.22377,0.458075E-01
0.256348E-01,2.27800,-0.803597E-01
0.262451E-01,2.33224,-0.241542
0.268555E-01,2.38648,0.609784
0.274658E-01,2.44072,-0.969379
0.280762E-01,2.49496,0.833170
0.286865E-01,2.54919,1.05851
0.292969E-01,2.60343,-1.19222
0.299072E-01,2.65767,0.530807
0.305176E-01,2.71191,1.06605
0.311279E-01,2.76615,0.658768
0.317383E-01,2.82039,0.746108E-01
0.323486E-01,2.87462,-0.968670E-01
0.329590E-01,2.92886,0.232735
0.335693E-01,2.98310,0.717879
0.341797E-01,3.03734,0.112120
0.347900E-01,3.09158,-1.27312
0.354004E-01,3.14581,0.735038
0.360107E-01,3.20005,1.66089
0.366211E-01,3.25429,1.11883
0.372314E-01,3.30853,1.76400
0.378418E-01,3.36277,-0.537722
0.384521E-01,3.41701,-0.402143
0.390625E-01,3.47124,-0.120541
0.396729E-01,3.52548,-0.408086
0.402832E-01,3.57972,1.72575
0.408936E-01,3.63396,0.147268
0.415039E-01,3.68820,-0.303570
0.421143E-01,3.74243,0.996685
0.427246E-01,3.79667,-1.62753
0.433350E-01,3.85091,0.823359E-01
0.439453E-01,3.90515,0.538603
0.445557E-01,3.95939,0.801315
0.451660E-01,4.01363,1.65197
0.457764E-01,4.06786,0.472423
0.463867E-01,4.12210,1.62520
0.469971E-01,4.17634,0.874658
0.476074E-01,4.23058,1.52814
0.482178E-01,4.28482,-0.111380
0.488281E-01,4.33905,0.113581
0.494385E-01,4.39329,1.23112
0.500488E-01,4.44753,0.805811
0.506592E-01,4.50177,0.482170
0.512695E-01,4.55601,0.436263
0.518799E-01,4.61025,-0.328150
0.524902E-01,4.66448,-0.212915
0.531006E-01,4.71872,0.157823E-01
0.537109E-01,4.77296,-0.303016
0.543213E-01,4.82720,0.881219
0.549316E-01,4.88144,-3.11219
0.555420E-01,4.93567,0.472611
0.561523E-01,4.98991,-0.192364
0.567627E-01,5.04415,-1.09746
0.573730E-01,5.09839,1.43926
0.579834E-01,5.15263,-1.34227
0.585938E-01,5.20687,-0.282592
0.592041E-01,5.26110,0.100614
0.598145E-01,5.31534,-0.161634
0.604248E-01,5.36958,-0.410242
0.610352E-01,5.42382,-0.338950
0.616455E-01,5.47806,-0.217821
0.622559E-01,5.53229,0.856691
0.628662E-01,5.58653,-0.325459
0.634766E-01,5.64077,0.654099
0.640869E-01,5.69501,0.242220
0.646973E-01,5.74925,1.26350
0.653076E-01,5.80349,1.32245
0.659180E-01,5.85772,1.13580
0.665283E-01,5.91196,0.477450
0.671387E-01,5.96620,0.112150
0.677490E-01,6.02044,0.286978E-02
0.683594E-01,6.07468,0.263782
0.689697E-01,6.12891,-0.561062
0.695801E-01,6.18315,-0.931975
0.701904E-01,6.23739,-1.08836
0.708008E-01,6.29163,0.890018E-01
0.714111E-01,6.34587,0.392304
0.720215E-01,6.40011,0.555555E-01
0.726318E-01,6.45434,-1.21515
0.732422E-01,6.50858,-1.81768
